Primary ID	person	M1.t[1]	M1.t[2]
BM00117_komatsu	k	-5.78558	-0.155415
BM00236_komatsu	k	8.03199	4.87211
BM00642_komatsu	k	-2.46415	1.88664
BM00946_komatsu	k	3.37361	-6.2771
BM00117_hattori	h	-6.01467	0.157376
BM00236_hattori	h	5.03098	4.23044
BM00642_hattori	h	-3.28329	1.61854
BM00946_hattori	h	3.17163	-5.68349
BM00117_shindo	s	-5.88878	0.175915
BM00236_shindo	s	5.2867	3.25851
BM00642_shindo	s	-3.5588	1.63504
BM00946_shindo	s	3.05781	-5.51971
BM00117_akasaka	a	-6.02237	0.0123606
BM00236_akasaka	a	5.81741	4.16458
BM00642_akasaka	a	-2.66925	1.97771
BM00946_akasaka	a	3.36551	-5.95755
BM00117_benz.cnx	b	-5.92288	0.147208
BM00236_benz.cnx	b	5.42487	4.5873
BM00642_benz.cnx	b	-3.23719	1.66735
BM00946_benz.cnx	b	3.37351	-5.30393
