Primary ID	M1.p[1]	M1.p[2]	M1.p[3]
2'-fucosyllactose	0.107897	-0.0884988	-0.168414
2-Aminobutyrate	-0.1089	0.237	0.0516133
2-Oxoglutarate	0.061853	0.0438453	0.0736073
3'-sialyllactose	0.169484	-0.108675	-0.0876605
3-fucosyllactose	-0.0782345	0.0765916	0.197796
6'-sialyllactose	0.0993137	-0.115048	-0.273616
Acetate	0.0640535	-0.0237976	0.00662226
Acetone	0.0215066	0.114299	-0.0833563
Alanine	0.0697517	0.32091	0.00673583
Asparagine	0.192425	0.189017	0.0297631
Aspartate	0.162302	0.217458	0.0359912
Betaine	-0.00193409	-0.00317063	0.062786
Butyrate	-0.117245	0.186242	0.0845847
Caprate	-0.151082	0.175178	-0.0310888
Caprylate	-0.135881	0.17319	-0.0207322
Choline	0.0919708	-0.0022198	0.092297
Citrate	0.0132229	-0.0538724	-0.354047
Creatine	0.159944	-0.0923647	-0.127797
Creatine phosphate	-0.100477	0.100305	-0.295677
Creatinine	0.0864417	-0.0228415	-0.0925098
Ethanolamine	0.107647	-0.045013	0.0924209
Fucose	0.137839	-0.0166757	-0.0460543
Fumarate	0.0789771	0.00750104	-0.212679
Galactose	0.115803	0.0213975	-0.143602
Glucose	-0.130676	0.236965	-0.124217
Glutamate	-0.039335	0.337708	-0.0022369
Glutamine	-0.12354	0.231187	0.132311
Glycine	0.00249077	0.0777395	-0.155947
Histidine	0.190319	0.192749	0.030586
Isoleucine	0.217107	0.133585	0.0431745
Lactate	0.181786	-0.0381854	0.134094
Lactose	-0.154722	0.199149	-0.13097
Leucine	0.217541	0.121434	0.0430972
Lysine	0.216111	-0.00885352	-0.047679
Methanol	-0.0233337	0.0838757	-0.0305487
Methionine	0.226631	0.0899753	0.0152298
O-Phosphocholine	-0.117001	0.101332	-0.335987
Phenylalanine	0.202693	0.164762	0.028861
Proline	0.218755	0.113427	0.0484498
Pyruvate	0.124623	-0.10936	0.146109
Succinate	0.000426979	0.0722578	-0.125885
Taurine	0.0576407	0.0803213	-0.302677
Threonine	0.175572	0.231177	-0.00656196
Tryptophan	0.212078	0.0393242	0.0173486
Tyrosine	0.219543	0.133227	0.0267935
Urea	-0.0909071	0.135458	-0.00425881
Uridine	0.163008	-0.0586897	-0.0186071
Valine	0.224045	0.121203	0.00342676
cis-Aconitate	0.0141983	0.0196365	-0.296353
myo-Inositol	0.138714	-0.0630117	-0.247855
sn-Glycero-3-phosphocholine	-0.167275	0.200162	-0.0375377
