Primary ID	M3.pq[1]	M3.poso[1]	M3.VIPpred
2-Aminobutyrate	0.0511689	-0.115135	0.357337
2-Oxoglutarate	-0.00299623	0.0662634	0.0209241
3'-sialyllactose	-0.183581	0.175861	1.28203
3-fucosyllactose	0.702012	-0.0675913	4.90249
6'-sialyllactose	0.0179424	0.110578	0.125301
Acetate	-0.011432	0.0672954	0.0798351
Acetone	-0.0977528	0.0199932	0.682654
Alanine	0.00773734	0.0753479	0.0540335
Asparagine	-0.0153584	0.204429	0.107255
Aspartate	-0.0283968	0.171743	0.198308
Betaine	0.121809	0.000463692	0.850653
Butyrate	-0.00353201	-0.126233	0.0246657
Caprate	-0.0557262	-0.161169	0.389163
Caprylate	-0.0491055	-0.145217	0.342927
Choline	0.0282838	0.0977549	0.19752
Citrate	0.00396091	0.0204109	0.0276609
Creatine	0.0100299	0.17242	0.0700436
Creatine phosphate	-0.0667313	-0.103435	0.466017
Creatinine	-0.00994652	0.0945168	0.0694613
Ethanolamine	0.00233519	0.11398	0.0163077
Fucose	-0.613939	0.129705	4.28743
Fumarate	-0.0277058	0.087424	0.193483
Galactose	-0.101039	0.123215	0.705605
Glucose	0.00261512	-0.136696	0.0182626
Glutamate	-0.00126201	-0.0409625	0.00881319
Glutamine	0.0828406	-0.131599	0.578516
Glycine	-0.0460388	0.00286167	0.321511
Histidine	-0.0211358	0.202148	0.147601
Isoleucine	-0.0406646	0.229584	0.28398
Lactate	-0.0447438	0.190486	0.312468
Lactose	0.111483	-0.159049	0.778542
Leucine	-0.0316539	0.230183	0.221054
Lysine	-0.0177448	0.230134	0.123921
Methanol	-0.038892	-0.0256701	0.271601
Methionine	-0.0447426	0.239695	0.312459
O-Phosphocholine	-0.0174925	-0.118825	0.122158
Phenylalanine	-0.0325229	0.214897	0.227123
Proline	-0.042036	0.231104	0.293558
Pyruvate	0.00484089	0.131005	0.0338062
Succinate	-0.00316859	0.00211525	0.0221278
Taurine	0.010202	0.0674586	0.0712457
Threonine	-0.00704501	0.187366	0.0491987
Tryptophan	-0.00764883	0.224778	0.0534154
Tyrosine	-0.0327093	0.232627	0.228425
Urea	0.18248	-0.0912267	1.27434
Uridine	-0.0275684	0.173233	0.192523
Valine	-0.0409931	0.237403	0.286275
cis-Aconitate	-0.00616106	0.0204554	0.0430256
myo-Inositol	-0.0221157	0.149773	0.154445
sn-Glycero-3-phosphocholine	-0.0133664	-0.177293	0.0933437
