Primary ID	Sec	M3.t[1]	M3.to[1]
10005510mMc_BM00032.cnx	Se+	-0.128713	10.1706
10005510mMd_BM00033.cnx	Se+	-0.603305	1.75729
10005510mMe_BM00129.cnx	Se+	-0.497428	-2.89485
10007810mMc_BM00095.cnx	Se+	-0.251779	0.220962
10007810mMd_BM00120.cnx	Se+	-0.506976	-2.80292
10007810mMe_BM00248.cnx	Se+	-0.754556	-3.43922
10008110mMc_BM00117.cnx	Se-	1.98752	0.275359
10008110mMd_BM00139.cnx	Se-	1.34554	-2.07552
10008110mMe_BM00251.cnx	Se-	1.84315	-2.62125
10009810mMc_BM00198.cnx	Se+	-1.08002	6.91082
10009810mMd_BM00227.cnx	Se+	-1.33561	-2.33188
10009810mMe_BM00356.cnx	Se+	-1.79657	0.461001
10010110mMc_BM00219.cnx	Se+	-0.0413017	-0.0809596
10010110mMd_BM00234.cnx	Se+	-0.857615	-3.03045
10010110mMe_BM00352.cnx	Se+	-0.23251	-3.72818
10010510mMc_BM00236.cnx	Se+	-2.37577	11.3113
10010510mMd_BM00264.cnx	Se+	-0.625828	-2.54308
10010510mMe_BM00368.cnx	Se+	-0.329475	-3.6162
10010610mMc_BM00229.cnx	Se+	-0.0541278	2.18618
10010610mMd_BM00255.cnx	Se+	-0.881978	-2.5288
10010610mMe_BM00371.cnx	Se+	-2.10135	-3.93304
10011410mMc_BM00242.cnx	Se+	-0.437226	0.729638
10011410mMd_BM00272.cnx	Se+	-0.688624	-1.45033
10011410mMe_BM00379.cnx	Se+	-1.18747	-1.73935
10011510mMc_BM00230.cnx	Se+	0.0605163	1.23387
10011510mMd_BM00277.cnx	Se+	0.230289	-1.5555
10011510mMe_BM00383.cnx	Se+	0.439498	-3.17371
10011610mMc_BM00278.cnx	Se+	-0.155031	2.44777
10011610mMd_BM00300.cnx	Se+	-0.406162	-2.78026
10011610mMe_BM00411.cnx	Se+	-0.0416896	-3.2525
10012310mMc_BM00324.cnx	Se+	-0.587356	0.960944
10012310mMd_BM00334.cnx	Se+	-0.220492	-2.93485
10012310mMe_BM00450.cnx	Se+	-0.058781	-3.85363
10012910mMc_BM00328.cnx	Se+	-0.7136	4.35022
10012910mMd_BM00340.cnx	Se+	-0.343403	-1.29769
10012910mMe_BM00466.cnx	Se+	-0.62689	-2.50927
10014810mMc_BM00509.cnx	Se+	-0.421963	6.08371
10014810mMd_BM00510.cnx	Se+	-0.415726	-0.772483
10014810mMe_BM00584.cnx	Se+	-0.614171	-1.87832
10014910mMc_BM00515.cnx	Se+	0.632106	3.99963
10014910mMd_BM00483.cnx	Se+	-0.715081	-0.692813
10014910mMe_BM00593.cnx	Se+	-0.568547	-2.66127
10015110mMc_BM00517.cnx	Se+	0.266217	4.99201
10015110mMd_BM00524.cnx	Se+	0.228155	2.75985
10016010mMc_BM00535.cnx	Se+	-1.08736	3.20332
10016010mMd_BM00541.cnx	Se+	-0.776668	-2.20862
10016010mMe_BM00617.cnx	Se+	-1.53754	-2.87361
10017510mMc_BM00591.cnx	Se+	-0.544803	-0.0232728
10017510mMd_BM00604.cnx	Se+	-0.403333	-3.55007
10017510mMe_BM00660.cnx	Se+	-0.0805897	-3.60005
10018910mMc_BM00623.cnx	Se+	-0.492173	-0.755166
10018910mMd_BM00637.cnx	Se+	0.277547	-2.63428
10018910mMe_BM00696.cnx	Se+	-0.122578	-3.32573
10019010mMc_BM00642.cnx	Se-	1.9278	1.85541
10019010mMd_BM00644.cnx	Se-	1.79187	-2.20383
10019010mMe_BM00716.cnx	Se-	2.72675	-2.59347
10019510mMc_BM00665.cnx	Se+	-0.109622	2.45356
10019510mMd_BM00671.cnx	Se+	-0.827995	-2.02135
10019510mMe_BM00745.cnx	Se+	-1.49245	-2.56528
10019610mMc_BM00666.cnx	Se+	-0.294984	0.349812
10019610mMd_BM00674.cnx	Se+	-0.341615	-3.25384
10019610mMe_BM00742.cnx	Se+	0.453291	-2.78631
10005110mMc_BM00001.cnx	Se+	0.409811	4.26931
10005110mMd_BM00002.cnx	Se+	0.142847	-0.968899
