Primary ID		M2.p[1]	M2.p[2]
9.99		0.0037087	0.0311948
9.97		-0.00936946	-0.0320216
9.95		0.00346193	-0.0284807
9.93		-0.0123215	0.0160993
9.91		-0.00341811	0.00970741
9.89		0.00475269	-0.0122758
9.87		-0.00213932	-0.00354021
9.85		-0.00060608	0.0075945
9.83		0.00269535	-0.00543318
9.81		0.00238842	-0.00437313
9.79		0.00012419	0.00400152
9.77		0.000851601	-0.00800523
9.75		0.0053658	-0.0151792
9.73		0.00265991	0.010222
9.71		0.00919719	0.0107133
9.69		-0.00575213	0.00597161
9.67		0.00922098	0.0236509
9.65		-0.0010812	-0.0124334
9.63		-0.000980846	0.0105881
9.61		-0.0388513	0.0232175
9.59		-0.00469405	-0.0154018
9.57		0.0319493	0.0116459
9.55		-0.00907369	-0.0256843
9.53		0.00416565	0.00718567
9.51		0.00624502	0.00653406
9.49		0.000649842	-0.00229418
9.47		0.000156015	-0.00977241
9.45		-0.0284367	0.00710705
9.43		0.00283515	-0.00511701
9.41		-0.0173836	0.0215429
9.39		0.0129684	-0.0191445
9.37		-0.0198797	0.0264905
9.35		-0.0192714	-0.0291228
9.33		0.0267344	0.00152379
9.31		-0.0208728	-0.00971322
9.29		-0.0436063	0.00402637
9.27		0.0159465	0.0205122
9.25		0.0115559	-0.00931702
9.23		-0.00643049	-0.00494997
9.21		0.00252134	-0.0184706
9.19		-0.0116524	-0.0094979
9.17		-0.0110061	-0.0137951
9.15		-0.0179819	0.0134254
9.13		-0.0227256	0.0227977
9.11		-0.00503596	0.00289344
9.09		-0.039852	0.00601525
9.07		-0.0310447	0.0245845
9.05		-0.0560059	-0.00770023
9.03		-0.0189231	0.0137617
9.01		-0.0546332	0.0119944
8.99		0.0308817	-0.0143746
8.97		0.00323652	-0.038533
8.95		-0.00927018	0.0566081
8.93		-0.0837158	0.0153825
8.91		-0.00468675	-0.0389561
8.89		-0.0333559	0.00266306
8.87		0.0319074	-0.0218563
8.85		-0.0115423	-0.00999108
8.83		0.00375546	-0.0129869
8.81		-0.00111117	0.00896075
8.79		0.00938219	0.00164822
8.77		-0.00673182	0.0147279
8.75		0.0248911	0.0168166
8.73		0.00359502	0.0168263
8.71		-0.0290508	-0.0294493
8.69		-0.00654468	-0.00285346
8.67		0.00602904	-0.0062293
8.65		-0.0188189	-0.0162518
8.63		-0.0119252	-0.00901249
8.61		-0.073732	0.000704736
8.59		-0.0844537	-0.0067577
8.57		0.015095	0.0406532
8.55		-0.00656063	0.00614435
8.53		-0.015713	-0.0135599
8.51		0.00850987	0.00545155
8.49		0.0120435	0.00351112
8.47		0.0186536	-0.000903598
