Primary ID		M3.p[1]	M3.p[2]
9.99		0.00226379	0.0216755
9.97		-0.0227454	0.00123301
9.95		-0.00852955	0.013606
9.93		0.000809348	-0.0023707
9.91		0.00220426	0.0176152
9.89		-0.0061004	-0.014839
9.87		-0.00961464	0.00921353
9.85		-0.0101119	0.013866
9.83		-0.00793534	0.016212
9.81		-0.0100961	0.0190849
9.79		-0.00510402	0.00716369
9.77		0.00284425	0.00722945
9.75		-0.00893432	0.00952685
9.73		-0.00372755	0.0192221
9.71		-0.0198532	0.0249173
9.69		-0.00333062	0.0107217
9.67		0.00275323	0.00419732
9.65		-0.00498517	0.0254316
9.63		-6.93426e-06	0.0267642
9.61		0.0029668	0.0147542
9.59		0.00329198	0.0195536
9.57		0.0291053	0.00581084
9.55		-0.00234209	0.0241204
9.53		-0.00409237	0.025912
9.51		0.00110164	0.012367
9.49		0.000141517	0.0239297
9.47		-0.0157744	0.00912162
9.45		0.022351	-0.0197209
9.43		-0.0119578	0.00827974
9.41		0.00100803	-0.0114192
9.39		-0.0151757	-0.0176896
9.37		0.000436853	-0.00662267
9.35		0.0126086	-0.0109758
9.33		0.0211154	0.023766
9.31		-0.0165759	0.0132987
9.29		-0.0141168	-0.0323929
9.27		-0.00403025	-0.019443
9.25		0.00489876	0.00568336
9.23		-0.0189271	-0.00861307
9.21		-0.0248856	0.00101905
9.19		-0.0215427	-0.0114037
9.17		-0.0194687	-0.0124539
9.15		0.0220619	-0.0106392
9.13		0.032687	-0.00586153
9.11		-0.00587458	-0.00226507
9.09		-0.00240807	-0.0379831
9.07		-0.0187703	-0.0267865
9.05		0.000514147	-0.0475727
9.03		-0.00843456	-0.0418786
9.01		0.00801644	-0.0461505
8.99		-0.0014938	0.0376159
8.97		-0.022495	0.041781
8.95		0.0326417	-0.00548254
8.93		-0.0152369	-0.0535463
8.91		0.00581496	-0.0228582
8.89		-0.0203435	-0.0372904
8.87		0.0126915	0.0397356
8.85		-0.0121197	0.0287315
8.83		0.00645037	-0.0128195
8.81		-0.00786938	0.00809269
8.79		-0.0101265	0.0160377
8.77		0.00453365	0.0197041
8.75		0.00180549	0.000458685
8.73		-0.0119155	0.0363183
8.71		0.00402877	0.0164886
8.69		0.00827528	0.0155625
8.67		-0.0151244	-0.000574764
8.65		-0.00980085	0.00843283
8.63		-0.00244738	-0.0155097
8.61		-0.0262312	-0.0194652
8.59		-0.00255754	-0.00265588
8.57		0.0289046	0.0410807
8.55		0.0202545	0.0464488
8.53		0.0235781	0.0448037
8.51		0.0239067	0.0493965
8.49		0.0220191	0.0475411
8.47		0.0234132	0.0472831
8.45		0.0384797	0.0205779
8.43		0.0195048	0.0537267
8.41		0.0248208	0.0460865
8.39		0.0245356	0.0492508
8.37		0.02068	0.0478269
8.35		0.0173879	0.0476198
8.33		0.0327402	0.0280247
8.31		0.0407305	0.00420254
8.29		0.00824113	-0.0225338
8.27		-0.00416214	-0.00374018
8.25		0.000881091	-0.0356312
8.23		0.00285791	-0.036595
8.21		0.0257417	-0.0189785
8.19		-0.00266975	-0.0472022
8.17		0.00959728	-0.0523497
8.15		0.00548302	-0.0191906
8.13		0.00806325	-0.0202194
8.11		-0.00899083	-0.0177166
8.09		0.00472945	-0.00980929
8.07		-0.00350291	0.0059626
8.05		-0.00842365	0.0158734
8.03		0.00938145	0.00898766
8.01		0.0190401	0.0258741
7.99		0.0278152	0.0279937
7.97		0.03688	0.00295566
7.95		0.0254701	-0.00878456
7.93		0.0179335	0.0127695
7.91		0.0174174	0.000596251
7.89		0.0172369	-0.036524
7.87		0.0175762	-0.0310578
7.85		0.00864353	-0.0176238
7.83		0.0214216	-0.00782802
7.81		0.0487499	0.00792332
7.79		0.0218449	-0.0187237
7.77		0.00993956	-0.0327414
7.75		0.0261	-0.0394561
7.73		0.0800831	-0.0191502
7.71		0.0855679	-0.0155977
7.69		0.0100835	0.00702346
7.67		0.00527865	0.0180676
7.65		-0.0102651	-0.00326165
7.63		-0.00394591	0.00129697
7.61		0.00519456	0.011081
7.59		0.00377678	0.0162327
7.57		-0.0104747	-0.00286078
7.55		0.0207648	-0.0225189
7.53		0.0768616	-0.0363224
7.51		0.0219951	-0.0526402
7.49		0.00806279	0.0082901
7.47		0.00661778	0.0225017
7.45		-0.00313403	0.0112198
