Primary ID	age	M2.t[1]	M2.t[2]
10005511cSc_1	c	9.84433	-2.13697
10005511cSe_1	c	-5.40467	7.13427
10005511cSg_1	c	-10.9168	-4.53572
10005511cSh_1	c	-6.48173	-4.42809
10005511cSk_1	c	-7.99646	-2.84174
10007811cSc_1	c	13.3779	11.6144
10007811cSd_1	c	2.30258	12.7778
10007811cSe_1	c	-6.52565	2.51818
10007811cSf_1	c	-1.65416	-4.01693
10007811cSg_1	c	-11.3453	1.87978
10007811cSh_1	c	-4.83406	-6.85139
10008111cSd_1	c	4.17757	-8.86933
10008111cSf_1	c	-0.883742	-4.93486
10008111cSg_1	c	-3.62397	-9.01368
10008111cSh_1	c	-5.58125	-6.53755
10008111cSk_1	c	-3.65462	3.58658
10009811cSe_1	c	-2.45398	-7.85214
10009811cSf_1	c	-2.81832	-9.70313
10009811cSg_1	c	-3.84567	-8.76593
10009811cSh_1	c	-9.92366	0.771121
10010111cSc_1	c	6.60966	-3.79716
10010111cSf_1	c	3.07695	1.01128
10010111cSg_1	c	-8.84144	-4.21299
10010111cSh_1	c	-7.8371	-4.01651
10010511cSf_1	c	9.96984	2.15979
10010511cSg_1	c	-5.30956	-1.17668
10010611cSd_1	c	16.1861	0.00780839
10010611cSf_1	c	-0.646796	-3.82361
10010611cSg_1	c	-7.30245	-4.47483
10010611cSh_1	c	-4.77407	-8.41414
10011411cSc_1	c	2.76545	-3.40998
10011411cSd_1	c	9.14369	-2.47206
10011411cSe_1	c	-1.03228	-1.09023
10011411cSf_1	c	-8.25257	0.598213
10011411cSg_1	c	-8.52714	-4.05184
10011411cSh_1	c	-7.4641	-4.7365
10011411cSk_1	c	-7.0497	-5.4218
10011511cSc_1	c	8.23738	-2.60427
10011511cSe_1	c	-1.59036	-2.85234
10011511cSf_1	c	-12.037	8.12533
10011511cSg_1	c	-6.89432	-5.12533
10011611cSf_1	c	2.21856	2.63046
10011611cSg_1	c	-5.25706	-2.04805
10011611cSh_1	c	-5.65582	-8.02121
10012311cSc_1	c	8.56544	-7.43891
10012311cSd_1	c	14.5868	-3.41629
10012311cSe_1	c	3.62296	4.1751
10012311cSf_1	c	-11.6572	10.9645
10012311cSg_1	c	-5.96902	2.60806
10012311cSh_1	c	-8.6077	-3.38624
10012911cSf_1	c	7.61426	-2.66733
10012911cSg_1	c	-8.77652	2.52517
10012911cSh_1	c	-1.16723	-9.41526
10012911cSk_1	c	-3.26765	-5.12527
10014811cSc_1	c	4.91984	-5.73344
10014811cSd_1	c	2.8745	1.33355
10014811cSe_1	c	-5.08403	4.67929
10014811cSf_1	c	-2.87723	-6.38177
10014811cSg_1	c	-4.24607	-10.1077
10014811cSh_1	c	-4.81727	-6.61754
10014911cSc_1	c	9.7771	-6.63121
10014911cSd_1	c	8.96259	4.77538
10014911cSe_1	c	3.65272	4.03186
10014911cSf_1	c	-0.417077	-4.76518
10014911cSg_1	c	-3.86679	-4.16986
10014911cSh_1	c	-10.3922	-3.44252
10015111cSc_1	c	9.20634	-4.24065
10015111cSd_1	c	7.02669	5.4633
10015111cSe_1	c	-9.21188	11.7148
10015111cSf_1	c	-7.86336	1.19207
10015111cSg_1	c	-7.29115	-4.99155
10015111cSh_1	c	-8.69562	-3.81403
10016011cSc_1	c	4.51631	-2.35141
10016011cSd_1	c	14.3722	-0.39585
10016011cSf_1	c	4.66657	4.44671
10016011cSg_1	c	-5.14226	-5.5911
10017511cSc_1	c	15.649	-1.24908
10017511cSd_1	c	14.6598	1.43844
10017511cSf_1	c	-8.90264	11.0621
10017511cSg_1	c	-7.30101	2.42551
10017511cSh_1	c	-9.2022	-0.970484
10018911cSc_1	c	11.1291	-2.4275
10018911cSd_1	c	6.72773	-0.49842
10018911cSe_1	c	-9.32176	13.6314
10018911cSf_1	c	-7.81207	8.24563
10018911cSg_1	c	-8.88555	-3.54388
10019011cSc_1	c	12.0122	-3.57412
10019011cSf_1	c	-4.86314	6.61288
10019011cSg_1	c	-4.33424	-9.23878
10019011cSh_1	c	-7.93854	-4.28719
10019511cSc_1	c	3.6141	-3.56342
10019511cSe_1	c	-4.14674	4.01392
10019511cSf_1	c	-4.36393	-3.45119
10019511cSg_1	c	-5.51267	-5.19904
10019511cSh_1	c	-7.45758	-0.444921
10019611cSc_1	c	7.77945	-3.0509
10019611cSd_1	c	14.2507	-2.96003
10019611cSe_1	c	11.4599	-0.742746
10019611cSf_1	c	3.95856	-2.1075
10019611cSg_1	c	-6.76223	-4.60954
10019611cSh_1	c	-6.08906	-8.37464
10005111cSf_1	c	-2.545	-4.80059
10005111cSg_1	c	-6.96692	-4.37111
10005111cSh_1	c	-8.52505	0.829434
10005111cSk_1	c	-8.95329	-0.735443
10014511cSc_1	c	9.50525	4.10771
10014511cSe_1	c	-7.53968	6.93673
10014511cSf_1	c	-5.89004	-6.3929
10014511cSg_1	c	-5.21835	-4.8306
10014511cSh_1	c	-7.63168	-4.42841
10014611cSe_1	c	22.1346	-0.364354
10014611cSg_1	c	-6.64097	-1.90253
10014611cSh_1	c	-8.07557	-1.6206
10019811cSc_1	c	15.1766	-2.44079
10019811cSd_1	c	19.6476	5.02831
10019811cSe_1	c	18.0861	10.3975
10019811cSf_1	c	0.93217	-1.12393
10019811cSh_1	c	-7.61232	-4.11211
10020911cSc_1	c	6.29935	-6.62255
10020911cSe_1	c	-5.67312	3.46306
10020911cSf_1	c	-0.878288	-4.30485
10020911cSg_1	c	-12.9976	3.05117
10021011cSc_1	c	8.08201	-1.63076
10021011cSd_1	c	-0.24834	15.35
10021011cSe_1	c	-11.7124	12.7364
10021011cSf_1	c	-10.0142	2.91081
10021011cSg_1	c	-9.07674	-5.10071
10022611cSd_1	c	2.78704	4.87547
10022611cSe_1	c	-5.90543	14.7764
10022611cSf_1	c	-2.21376	5.54735
10022611cSg_1	c	-7.05141	-3.42982
10022711cSc_1	c	11.7887	3.55116
10022711cSe_1	c	-0.797952	10.9583
10022711cSf_1	c	-6.48218	3.38841
10022711cSg_1	c	-7.12497	-0.804335
10023211cSc_1	c	10.8215	-6.87591
10023211cSd_1	c	12.2988	-2.12351
10023211cSe_1	c	6.92944	-0.621954
10023211cSf_1	c	5.66221	-5.75904
10023211cSg_1	c	-5.75179	-3.43884
10023711cSc_1	c	0.491769	-3.2701
10023711cSd_1	c	5.84741	-3.72887
10023711cSf_1	c	-5.21942	5.17349
11001511cSc_1	c	12.2645	-1.37842
11001511cSd_1	c	17.1793	-0.530031
11001511cSe_1	c	-0.585175	-1.93374
11001511cSf_1	c	-4.51866	3.87055
11001511cSg_1	c	-10.0548	1.83372
11001511cSh_1	c	-6.39055	-2.07225
11001811cSc_1	c	5.53122	-1.32314
11001811cSe_1	c	-2.89536	1.88301
11001811cSf_1	c	0.165639	-2.08143
11001811cSg_1	c	-4.99991	-3.27991
11001811cSh_1	c	-7.0869	-7.31471
11001911cSc_1	c	11.4884	-4.77213
11001911cSd_1	c	16.2801	-0.107808
11001911cSe_1	c	11.9266	3.95776
11001911cSf_1	c	-3.30397	-2.98989
11001911cSg_1	c	-7.12816	-2.14574
11002311cSd_1	c	-0.875653	4.95996
11002311cSe_1	c	-1.72758	3.84146
11002311cSf_1	c	-5.33526	-0.259062
11002311cSg_1	c	-5.42591	-7.64803
10005911cSc_1	c	3.84779	3.75168
10005911cSf_1	c	-10.8222	4.97795
10005911cSg_1	c	-12.7177	3.24334
10005911cSh_1	c	-8.51234	-2.4923
10005911cSk_1	c	-10.8451	-2.13048
10009211cSc_1	c	6.74734	-7.45982
10009211cSe_1	c	2.67044	0.799647
10009211cSh_1	c	-12.0708	-1.19226
10011311cSc_1	c	6.4593	-8.18441
10011311cSe_1	c	-4.8906	2.31382
10011311cSf_1	c	-3.39857	-6.60754
10012811cSc_1	c	8.59908	-3.70613
10012811cSd_1	c	16.8722	-3.92192
10015911cSc_1	c	7.92861	-6.19937
10015911cSd_1	c	19.1329	2.36626
10020211cSe_1	c	-5.3732	3.01096
10020211cSg_1	c	-5.43988	-6.39559
10020211cSh_1	c	-9.70651	-1.25157
10021211cSc_1	c	5.69514	2.94853
10021211cSe_1	c	-1.91323	9.11285
10021211cSf_1	c	-4.98556	1.58838
10021211cSg_1	c	-6.37931	-3.91367
10021211cSh_1	c	-9.05605	-0.0529629
10022011cSc_1	c	9.15153	-7.22191
10022011cSe_1	c	1.29182	1.02938
10022011cSf_1	c	-1.96635	-5.80524
10022011cSg_1	c	-7.00823	-1.22423
10024411cSc_1	c	6.49703	-7.11763
10024411cSd_1	c	14.2388	5.13058
10024411cSe_1	c	14.7528	5.10281
10024411cSf_1	c	-1.79595	-7.82502
10024411cSg_1	c	-0.597695	-8.60144
10024511cSc_1	c	-0.339599	3.00439
10024511cSd_1	c	-4.03163	7.84687
10024511cSe_1	c	-14.9421	13.3233
10024511cSg_1	c	-10.2722	0.863425
10024611cSd_1	c	-5.45936	15.8808
10024611cSe_1	c	-5.20884	5.24682
10024611cSg_1	c	-7.25138	-3.15213
10024911cSe_1	c	20.1173	-2.37682
10024911cSf_1	c	2.51788	-5.26662
10024911cSg_1	c	-7.31244	-3.35889
10005311cSd_1	c	23.245	1.92229
10005311cSe_1	c	7.97645	-7.40466
