Primary ID	age	M3.t[1]	M3.t[2]
10005510mSb_1	m	-5.95724	4.8552
10005510mSc_1	m	16.4487	1.2691
10005510mSd_1	m	-7.02927	7.81719
10005510mSe_1	m	2.54199	-5.3307
10007810mSb_1	m	-3.60892	0.223365
10007810mSc_1	m	-5.75821	3.30558
10007810mSd_1	m	-2.45825	-0.5745
10007810mSe_1	m	-1.80806	-1.73511
10008110mSb_1	m	-3.07011	-0.828864
10008110mSc_1	m	-6.86699	1.47058
10008110mSd_1	m	-3.91628	1.06956
10008110mSe_1	m	-4.91432	1.64446
10009810mSb_1	m	-4.77729	1.17839
10009810mSc_1	m	6.83318	-4.79377
10009810mSd_1	m	-1.93795	-2.0951
10009810mSe_1	m	-5.54048	-1.106
10010110mSb_1	m	8.96656	2.1866
10010110mSc_1	m	1.19845	-1.47563
10010110mSd_1	m	-1.70642	-2.92291
10010510mSb_1	m	-5.12725	1.36128
10010510mSc_1	m	0.833455	0.666099
10010510mSd_1	m	-7.39448	2.8924
10010510mSe_1	m	-7.58581	4.08724
10010610mSb_1	m	-6.23949	2.79464
10010610mSc_1	m	-7.48502	1.27214
10010610mSd_1	m	-3.54191	1.27989
10010610mSe_1	m	-5.0785	1.09151
10011410mSb_1	m	-6.65338	1.66359
10011410mSc_1	m	-4.26691	-0.758345
10011410mSd_1	m	-8.69037	4.61642
10011410mSe_1	m	-3.62786	-1.56447
10011510mSd_1	m	-5.49233	-0.624206
10011510mSe_1	m	-4.77395	0.998459
10011610mSb_1	m	0.229291	3.49795
10011610mSc_1	m	-6.19527	5.17957
10011610mSd_1	m	-4.77568	3.08778
10011610mSe_1	m	-2.46847	0.40043
10012310mSb_1	m	-10.7037	3.85827
10012310mSc_1	m	-6.00905	1.10194
10012310mSd_1	m	0.247658	-4.3595
10012310mSe_1	m	-5.53713	-0.524055
10014810mSb_1	m	-0.0331451	-0.533206
10014810mSc_1	m	4.90087	-2.64101
10014810mSd_1	m	1.23609	-1.04984
10014810mSe_1	m	2.12725	-9.85497
10014910mSb_1	m	3.15845	-6.67912
10014910mSc_1	m	23.1214	-3.53194
10014910mSd_1	m	21.9064	-11.5769
10014910mSe_1	m	1.4635	-4.50908
10015110mSb_1	m	2.66906	-4.41537
10015110mSc_1	m	-1.74558	-3.20082
10015110mSd_1	m	3.85785	-0.130524
10015110mSe_1	m	-1.71986	-1.86203
10016010mSb_1	m	-2.62747	-3.34032
10016010mSc_1	m	5.78297	-5.93971
10016010mSd_1	m	-3.17753	-0.417376
10016010mSe_1	m	13.2583	1.69713
10017510mSb_1	m	-2.40201	5.20687
10017510mSc_1	m	-3.61658	-0.726445
10017510mSd_1	m	-2.10149	0.13289
10017510mSe_1	m	-5.17637	-0.554412
10018910mSb_1	m	-2.30125	-6.20558
10018910mSc_1	m	-2.66721	-2.99739
10018910mSd_1	m	-3.25732	-3.09318
10018910mSe_1	m	-2.18831	-5.46765
10019010mSb_1	m	-0.510966	-2.87289
10019010mSd_1	m	7.98438	-2.29789
10019010mSe_1	m	0.177435	-2.74996
10019510mSd_1	m	1.45115	-2.94928
10019510mSe_1	m	6.72557	-8.08196
10019610mSb_1	m	-2.49865	-2.32729
10019610mSc_1	m	-6.09675	2.35464
10019610mSd_1	m	-3.2029	-4.16128
10019610mSe_1	m	-3.70501	-0.779693
10005110mSb_1	m	-5.26649	2.11059
10005110mSc_1	m	-3.06615	1.09417
10005110mSd_1	m	-5.51705	1.75784
10005110mSe_1	m	1.27844	-5.6527
10014510mSb_1	m	-6.73948	0.627575
10014510mSc_1	m	-1.00887	4.32718
10014510mSd_1	m	-0.461535	-2.16798
10014510mSe_1	m	2.98375	4.01886
10014610mSb_1	m	-2.85036	-1.667
10014610mSc_1	m	-3.28476	1.58129
10014610mSd_1	m	-1.78092	-2.2324
10014610mSe_1	m	-0.275403	-6.98572
10019810mSb_1	m	-6.45976	1.95972
10019810mSc_1	m	1.55881	-0.274811
10019810mSd_1	m	-0.616905	2.14162
10019810mSe_1	m	-2.05719	-3.31066
10020910mSb_1	m	-6.9994	0.770756
10020910mSc_1	m	4.8276	5.00851
10020910mSd_1	m	3.01993	0.262617
10020910mSe_1	m	-3.16269	-0.381778
10021010mSb_1	m	-2.08889	-6.56696
10021010mSc_1	m	10.2103	-11.006
10021010mSd_1	m	0.32776	-3.9611
10021010mSe_1	m	10.8654	11.4844
10022610mSc_1	m	18.9633	-4.49778
10022610mSd_1	m	1.48612	-4.37592
10022610mSe_1	m	4.97525	-8.25399
10022710mSb_1	m	-4.34752	-0.745785
10022710mSc_1	m	-0.995918	-2.71243
10022710mSd_1	m	-1.14881	-0.0920093
10022710mSe_1	m	0.74275	-3.61674
10023210mSb_1	m	-2.57033	5.86467
10023210mSc_1	m	4.05091	-2.0958
10023210mSd_1	m	-3.47684	3.32687
10023210mSe_1	m	-2.34658	0.139557
10023710mSb_1	m	-8.82792	3.33472
10023710mSc_1	m	-7.30192	2.64317
10023710mSd_1	m	-4.8187	-1.22979
10023710mSe_1	m	-8.8679	4.71656
11001510mSb_1	m	-3.84136	0.516667
11001510mSc_1	m	-5.11375	-0.588616
11001510mSd_1	m	-5.35688	-1.39688
11001510mSe_1	m	-4.62532	-0.82059
11001810mSb_1	m	-5.24719	1.56255
11001810mSc_1	m	2.90384	-10.4037
11001810mSd_1	m	-1.09326	-3.47327
11001810mSe_1	m	25.3514	24.2874
11001910mSb_1	m	-4.40788	-3.95444
11001910mSc_1	m	8.75482	0.662377
11001910mSd_1	m	-2.30827	-1.301
11001910mSe_1	m	3.97651	0.135421
11002310mSb_1	m	-4.22187	-1.4826
11002310mSc_1	m	13.7889	0.6811
11002310mSd_1	m	-5.00669	1.54465
11002310mSe_1	m	-6.4103	0.997386
10005910mSb_1	m	1.60647	-1.81863
10005910mSc_1	m	-5.98815	3.69001
10005910mSd_1	m	-2.17898	-1.80352
10005910mSe_1	m	25.07	-1.55089
10009210mSb_1	m	-3.32873	-1.19813
10009210mSc_1	m	0.841695	3.13474
10009210mSd_1	m	-7.65933	3.86302
10009210mSe_1	m	1.62114	-4.09446
10011310mSb_1	m	-10.151	3.94753
10011310mSc_1	m	-8.64403	2.74159
10011310mSd_1	m	-9.34713	3.33262
10011310mSe_1	m	-5.68275	0.823404
10012810mSb_1	m	-8.51298	3.55792
10012810mSc_1	m	0.787249	2.6758
10012810mSd_1	m	-3.80064	2.30614
10012810mSe_1	m	-7.04954	2.05718
10015910mSb_1	m	-2.73374	-2.94477
10015910mSc_1	m	-8.57947	9.9761
10015910mSd_1	m	6.11519	0.0113217
10015910mSe_1	m	2.4481	-2.52852
10020210mSb_1	m	-1.81739	-1.2588
10020210mSc_1	m	-5.7929	3.36428
10020210mSe_1	m	2.41607	-2.32639
10021210mSb_1	m	0.749551	-1.75552
10021210mSc_1	m	2.9369	-0.0775051
10021210mSd_1	m	6.78998	-7.86424
10021210mSe_1	m	20.7412	4.90766
10022010mSb_1	m	-0.672179	-2.06479
10022010mSc_1	m	17.4324	5.05741
10022010mSd_1	m	0.720138	-6.1543
10022010mSe_1	m	7.09809	9.42784
10024410mSb_1	m	2.86734	-4.75526
10024410mSc_1	m	18.7169	3.86106
10024410mSd_1	m	17.7348	-5.35574
10024410mSe_1	m	16.0453	-1.37434
10024510mSb_1	m	6.93727	-3.48793
10024510mSc_1	m	2.60025	-10.4655
10024510mSd_1	m	12.7755	-6.04507
10024510mSe_1	m	2.78482	-6.32626
10024610mSc_1	m	7.31726	-5.20789
10024610mSd_1	m	1.2086	-4.58927
10024610mSe_1	m	6.87897	1.78995
10024910mSb_1	m	7.30526	10.9546
10024910mSc_1	m	8.4742	3.68769
10024910mSe_1	m	4.06848	-3.06792
10005310mSb_1	m	-8.54532	9.2274
10005310mSc_1	m	13.6423	-1.51858
10005310mSd_1	m	1.24491	-2.71265
10005310mSe_1	m	-4.39114	1.45165
10006810mSb_1	m	0.394656	2.63185
10006810mSc_1	m	6.53304	3.39237
10007510mSb_1	m	-5.07367	1.94672
10007510mSc_1	m	1.8933	0.258059
