Primary ID	age	M7.t[1]	M7.to[1]
10005511cSc_1	c	-10.9138	1.66749
10005511cSe_1	c	-0.756418	6.08946
10005511cSg_1	c	5.47758	-0.0439729
10005511cSh_1	c	8.61133	-1.65152
10005511cSk_1	c	8.69908	-0.644232
10007811cSc_1	c	-10.0002	-5.92141
10007811cSd_1	c	-7.11879	3.43395
10007811cSe_1	c	-0.451066	3.91915
10007811cSf_1	c	0.809161	0.888678
10007811cSg_1	c	11.2711	0.89432
10007811cSh_1	c	8.77957	-2.84448
10008111cSd_1	c	-6.03192	-1.35065
10008111cSf_1	c	3.20814	-0.464121
10008111cSg_1	c	6.02343	-1.8585
10008111cSh_1	c	7.77517	-2.64199
10008111cSk_1	c	4.4849	1.67722
10009811cSe_1	c	2.8573	-0.246381
10009811cSf_1	c	4.23286	-1.742
10009811cSg_1	c	6.1132	-2.38602
10009811cSh_1	c	9.45909	0.191187
10010111cSc_1	c	-5.83118	-2.60478
10010111cSf_1	c	1.42825	-3.91283
10010111cSg_1	c	8.76588	-1.84124
10010111cSh_1	c	9.83911	-2.599
10010511cSf_1	c	-0.318231	-7.42337
10010511cSg_1	c	5.3176	0.696118
10010611cSd_1	c	-9.43992	-9.75673
10010611cSf_1	c	2.98504	-0.864832
10010611cSg_1	c	7.09934	-1.17437
10010611cSh_1	c	9.28053	-3.16361
10011411cSc_1	c	-7.95463	3.34349
10011411cSd_1	c	-7.01082	-4.58351
10011411cSe_1	c	-2.14066	2.2778
10011411cSf_1	c	4.10707	2.88679
10011411cSg_1	c	6.57205	-0.955152
10011411cSh_1	c	8.64512	-1.62518
10011411cSk_1	c	13.5701	-3.02621
10011511cSc_1	c	-13.6427	2.25738
10011511cSe_1	c	-0.824657	1.49467
10011511cSf_1	c	0.834029	9.23281
10011511cSg_1	c	7.71244	-1.67808
10011611cSf_1	c	4.47742	-4.81083
10011611cSg_1	c	6.62913	-0.0876896
10011611cSh_1	c	11.0303	-3.52072
10012311cSc_1	c	-8.28834	-0.995682
10012311cSd_1	c	-5.56679	-9.64799
10012311cSe_1	c	-4.06245	-0.420567
10012311cSf_1	c	-1.62034	10.1184
10012311cSg_1	c	3.82728	3.21148
10012311cSh_1	c	12.6217	-2.13739
10012911cSf_1	c	0.65887	-5.02568
10012911cSg_1	c	7.07548	1.0609
10012911cSh_1	c	6.55043	-3.10629
10012911cSk_1	c	8.6459	-2.00274
10014811cSc_1	c	-8.94365	1.11602
10014811cSd_1	c	-4.6413	2.86589
10014811cSe_1	c	-0.268719	7.73912
10014811cSf_1	c	6.00546	-0.985481
10014811cSg_1	c	6.62366	-2.81656
10014811cSh_1	c	7.02196	-2.2612
10014911cSc_1	c	-11.2214	0.418158
10014911cSd_1	c	-3.89954	-2.92237
10014911cSe_1	c	-3.46007	3.67979
10014911cSf_1	c	5.33674	-2.04369
10014911cSg_1	c	8.7661	-2.8769
10014911cSh_1	c	12.051	-1.84521
10015111cSc_1	c	-14.496	3.90219
10015111cSd_1	c	-3.65722	-1.23631
10015111cSe_1	c	-1.36908	8.45695
10015111cSf_1	c	3.77914	4.11882
10015111cSg_1	c	7.85422	-1.74903
10015111cSh_1	c	11.2873	-2.05682
10016011cSc_1	c	-8.9256	3.50425
10016011cSd_1	c	-9.26673	-7.16785
10016011cSf_1	c	0.323036	-3.08787
10016011cSg_1	c	7.36032	-1.91484
10017511cSc_1	c	-11.2443	-5.24119
10017511cSd_1	c	-5.25425	-9.89659
10017511cSf_1	c	3.40576	7.64222
10017511cSg_1	c	5.72097	3.05492
10017511cSh_1	c	9.77262	-0.379816
10018911cSc_1	c	-8.22711	-4.74729
10018911cSd_1	c	-2.256	-4.26356
10018911cSe_1	c	-1.44073	8.18725
10018911cSf_1	c	-0.620988	6.66108
10018911cSg_1	c	9.51666	-0.638109
10019011cSc_1	c	-9.59593	-3.59951
10019011cSf_1	c	4.3965	3.72948
10019011cSg_1	c	6.70474	-3.49236
10019011cSh_1	c	14.4415	-2.54191
10019511cSc_1	c	-9.62688	5.08989
10019511cSe_1	c	0.160465	4.51986
10019511cSf_1	c	5.40519	0.577959
10019511cSg_1	c	7.00259	-1.04589
10019511cSh_1	c	7.9209	-0.370287
10019611cSc_1	c	-7.35112	-2.21974
10019611cSd_1	c	-5.06894	-9.67811
10019611cSe_1	c	-2.11146	-7.91171
10019611cSf_1	c	0.917194	-4.35194
10019611cSg_1	c	6.4188	-1.29423
10019611cSh_1	c	8.72452	-3.14951
10005111cSf_1	c	2.13403	0.743417
10005111cSg_1	c	7.21966	-0.64603
10005111cSh_1	c	6.12028	2.01593
10005111cSk_1	c	10.4938	-0.28723
10014511cSc_1	c	-12.5487	-1.07738
10014511cSe_1	c	-2.28633	9.57882
10014511cSf_1	c	5.16074	-1.52516
10014511cSg_1	c	6.73147	-0.638893
10014511cSh_1	c	8.04748	-1.05813
10014611cSe_1	c	-4.13617	-15.2426
10014611cSg_1	c	7.90293	-0.150747
10014611cSh_1	c	12.3129	-2.37692
10019811cSc_1	c	-9.94286	-7.55746
10019811cSd_1	c	-7.50263	-13.1942
10019811cSe_1	c	-2.75714	-11.601
10019811cSf_1	c	3.41871	-2.48733
10019811cSh_1	c	8.17979	-0.81942
10020911cSc_1	c	-8.01938	-0.374869
10020911cSe_1	c	-1.92508	7.30144
10020911cSf_1	c	3.51674	0.596474
10020911cSg_1	c	10.8966	0.796056
10021011cSc_1	c	-9.3256	-0.413415
10021011cSd_1	c	-6.4043	6.2248
10021011cSe_1	c	-0.189354	10.5336
10021011cSf_1	c	4.05131	3.48545
10021011cSg_1	c	10.5595	-2.68283
10022611cSd_1	c	-4.41573	1.95306
10022611cSe_1	c	-3.20673	10.6637
10022611cSf_1	c	-2.3204	7.8139
10022611cSg_1	c	7.51647	-0.969314
10022711cSc_1	c	-14.6202	0.199717
10022711cSe_1	c	-3.49267	4.06752
10022711cSf_1	c	0.990796	4.80989
10022711cSg_1	c	7.764	-0.0932353
10023211cSc_1	c	-12.6458	0.914123
10023211cSd_1	c	-6.50222	-4.39036
10023211cSe_1	c	-1.08859	-2.71351
10023211cSf_1	c	-0.393673	-4.12346
10023211cSg_1	c	6.68102	0.906563
10023711cSc_1	c	-7.48334	4.33021
10023711cSd_1	c	-2.51423	-4.29298
10023711cSf_1	c	-2.8094	8.68735
11001511cSc_1	c	-10.2883	-2.01963
11001511cSd_1	c	-5.83211	-11.6979
11001511cSe_1	c	0.244281	1.11257
11001511cSf_1	c	0.421041	4.07679
11001511cSg_1	c	7.66188	1.7661
11001511cSh_1	c	9.49405	-2.2154
11001811cSc_1	c	-9.40223	1.7004
11001811cSe_1	c	0.501794	1.76806
11001811cSf_1	c	3.81337	-1.86796
11001811cSg_1	c	5.63301	0.446849
11001811cSh_1	c	8.84976	-1.76159
11001911cSc_1	c	-9.08351	-3.76642
11001911cSd_1	c	-1.41314	-12.2977
11001911cSe_1	c	-1.11461	-9.44972
11001911cSf_1	c	6.37537	-1.49544
11001911cSg_1	c	8.17354	-0.175074
11002311cSd_1	c	-4.1338	4.76297
11002311cSe_1	c	-3.65083	5.47013
11002311cSf_1	c	3.12975	3.34921
11002311cSg_1	c	7.48612	-2.28367
10005911cSc_1	c	-9.16766	4.30287
10005911cSf_1	c	-1.28222	9.0839
10005911cSg_1	c	9.37086	1.58016
10005911cSh_1	c	9.85336	-0.680265
10005911cSk_1	c	13.6238	-1.65423
10009211cSc_1	c	-7.81368	-1.88108
10009211cSe_1	c	-2.02014	2.30446
10009211cSh_1	c	12.0315	-0.920553
10011311cSc_1	c	-9.60847	1.4981
10011311cSe_1	c	0.55762	4.7988
10011311cSf_1	c	2.45083	-0.238449
10012811cSc_1	c	-13.443	2.47254
10012811cSd_1	c	-6.19469	-11.6646
10015911cSc_1	c	-10.466	1.17476
10015911cSd_1	c	-10.3157	-9.56668
10020211cSe_1	c	-0.682789	6.56377
10020211cSg_1	c	8.78898	-2.12335
10020211cSh_1	c	8.23092	1.77098
10021211cSc_1	c	-8.39655	2.86156
10021211cSe_1	c	-2.48635	6.78819
10021211cSf_1	c	-0.0779476	5.69186
10021211cSg_1	c	6.42235	-0.0555865
10021211cSh_1	c	9.08912	0.119031
10022011cSc_1	c	-10.5878	0.573832
10022011cSe_1	c	1.08683	-0.164517
10022011cSf_1	c	3.63705	0.028347
10022011cSg_1	c	6.79397	2.21993
10024411cSc_1	c	-8.11919	0.626257
10024411cSd_1	c	-5.72701	-7.12278
10024411cSe_1	c	-3.77127	-8.53027
10024411cSf_1	c	5.29742	-2.22365
10024411cSg_1	c	4.40037	-1.8922
10024511cSc_1	c	-7.41982	5.30207
10024511cSd_1	c	-6.51408	7.44422
10024511cSe_1	c	-2.99831	14.5558
10024511cSg_1	c	5.61584	2.03605
10024611cSd_1	c	-3.68461	10.023
10024611cSe_1	c	-2.24346	7.70812
10024611cSg_1	c	9.34752	-0.890369
10024911cSe_1	c	-2.96056	-14.9681
10024911cSf_1	c	2.86525	-3.65576
10024911cSg_1	c	7.95031	-0.400031
10005311cSd_1	c	-7.99375	-14.5984
10005311cSe_1	c	-0.333313	-7.5802
10005311cSg_1	c	5.31056	-0.396971
10005311cSh_1	c	8.53835	-0.56476
10005311cSk_1	c	9.94207	-2.77231
10006811cSe_1	c	-3.74562	-10.2672
10006811cSg_1	c	10.3893	-2.90282
10006811cSk_1	c	9.63073	-0.349766
10007511cSc_1	c	-8.14149	-0.768399
10007511cSd_1	c	-8.18407	-8.96969
10007511cSg_1	c	8.8556	-3.46631
10007511cSh_1	c	10.4402	-3.88115
10007511cSk_1	c	11.0297	-2.7288
10008611cSf_1	c	3.39582	-1.861
11004711cSc_1	c	-7.73882	1.58452
11004711cSd_1	c	-5.39341	-13.5526
11004711cSf_1	c	5.86471	4.50288
10006911cSf_1	c	3.20149	-0.450465
10006911cSg_1	c	5.98778	0.938484
10009311cSc_1	c	-11.2286	1.29148
10009311cSe_1	c	0.682319	3.56005
10009311cSf_1	c	3.73675	2.09632
10009311cSg_1	c	8.1144	-3.3567
10009311cSh_1	c	12.4011	-3.24254
10016611cSc_1	c	-7.79457	-0.766613
10016611cSd_1	c	-6.65916	-7.32331
10016611cSe_1	c	-2.23349	-8.81673
10016611cSf_1	c	1.22614	-8.44382
10016611cSg_1	c	7.27897	-0.196127
10016611cSh_1	c	12.0169	1.92596
10023111cSc_1	c	-9.42039	0.842582
10023111cSd_1	c	-4.7238	-4.31311
10023111cSe_1	c	0.557584	6.90282
10023111cSf_1	c	1.56562	2.73052
10023111cSg_1	c	10.0658	-2.37615
10026111cSc_1	c	-10.0832	-2.52202
10026111cSd_1	c	-9.26862	-4.84345
10026111cSf_1	c	2.3638	4.2507
10026111cSg_1	c	7.66777	-1.78669
10026511cSc_1	c	-11.7557	-5.70885
10026511cSd_1	c	-6.3381	-13.9753
10026511cSe_1	c	-4.69933	-15.0056
10026511cSf_1	c	3.23158	-8.27448
10026611cSc_1	c	-10.2115	-11.1157
10026611cSd_1	c	-4.2502	-10.7049
10026611cSf_1	c	2.15602	3.68738
10026611cSg_1	c	6.14032	-0.215133
10028511cSd_1	c	-9.70382	-5.70068
10028511cSe_1	c	-2.18233	-3.73397
10028511cSf_1	c	4.24052	3.43109
10029011cSc_1	c	-10.8433	2.51847
10029011cSd_1	c	-6.05305	2.87846
10029011cSf_1	c	0.553098	3.71713
10029511cSc_1	c	-10.8191	1.37356
10029511cSe_1	c	0.946468	-2.90548
10029511cSf_1	c	3.32503	2.13169
11003311cSc_1	c	-8.74341	4.42076
11003311cSd_1	c	-9.24804	-11.7117
11003311cSe_1	c	-3.0602	-0.723008
11003311cSf_1	c	8.0906	-1.10857
11004911cSc_1	c	-12.0775	5.44864
11004911cSd_1	c	-6.36022	-3.40767
11004911cSe_1	c	-1.23501	6.60349
11004911cSf_1	c	5.25983	4.16958
11005111cSc_1	c	-12.2263	1.4924
11005111cSd_1	c	-9.02759	-14.359
11005111cSf_1	c	2.96629	5.65207
10005711cSc_1	c	-13.9325	0.729418
10005711cSe_1	c	-3.4337	4.94464
10005711cSf_1	c	1.2991	4.23706
10005711cSg_1	c	5.72955	0.447776
10005711cSh_1	c	10.2423	11.0604
10005711cSk_1	c	14.724	-0.147675
10006111cSe_1	c	-2.28337	7.516
10006111cSf_1	c	-0.362738	6.55018
10006111cSg_1	c	6.81518	-0.603053
10006111cSh_1	c	8.91137	-2.11563
10007311cSc_1	c	-12.6669	-0.55551
10007311cSd_1	c	-4.18131	-11.8948
10007311cSf_1	c	2.24533	4.89869
10007311cSg_1	c	9.0921	5.66244
10007311cSk_1	c	12.5709	0.603964
10008011cSc_1	c	-7.63809	-3.06443
10008011cSe_1	c	-2.64197	5.76299
10008011cSf_1	c	1.24099	1.09537
10008011cSk_1	c	10.0237	-2.59487
10012711cSc_1	c	-8.80226	3.18709
10012711cSe_1	c	-1.73562	-0.200582
10012711cSf_1	c	1.75072	0.831216
10012711cSg_1	c	8.34395	-0.156441
10012711cSk_1	c	11.3646	-3.51847
10015311cSc_1	c	-8.33947	-1.16593
10015311cSd_1	c	-4.76038	5.08691
10015311cSe_1	c	-3.78687	10.5033
10015311cSf_1	c	2.95666	3.63962
10015311cSg_1	c	10.4137	-1.74907
10015311cSh_1	c	10.1452	0.438617
10017311cSc_1	c	-10.988	-1.28987
10017311cSd_1	c	-6.02029	-12.6684
10017311cSf_1	c	5.05858	-1.36244
10017311cSh_1	c	8.312	-3.62467
10021311cSc_1	c	-12.4717	-4.70583
10021311cSe_1	c	-0.707221	7.73744
10021311cSg_1	c	8.49515	-0.490978
10021511cSc_1	c	-10.1053	1.60371
10021511cSd_1	c	-4.35202	6.03323
10021511cSe_1	c	0.333882	-0.286066
10021511cSf_1	c	2.75229	5.79659
10021511cSg_1	c	9.46999	-2.99192
10021511cSh_1	c	8.1594	1.58633
10023811cSc_1	c	-5.36875	-5.40815
10023811cSd_1	c	-4.70304	-8.72716
10023811cSe_1	c	-2.65419	-1.4285
10023811cSf_1	c	4.51997	-0.959676
10023811cSg_1	c	8.45103	-0.297728
10024711cSc_1	c	-9.89644	-8.32202
10024711cSg_1	c	6.31518	0.568751
10024811cSc_1	c	-10.2638	-1.95715
10024811cSd_1	c	-5.76205	-9.30732
10024811cSe_1	c	-2.00611	-7.93533
10024811cSf_1	c	3.21686	-4.39011
11001311cSe_1	c	-2.31957	-1.2463
11001311cSf_1	c	1.63743	6.7002
11001311cSg_1	c	7.5977	-2.68033
11001311cSh_1	c	9.83487	0.269265
10008411cSc_1	c	-5.00208	-2.98124
10023511cSc_1	c	-7.16863	1.68461
10023511cSe_1	c	-0.0524315	-0.12595
10023511cSf_1	c	1.18395	-2.93013
10023511cSg_1	c	7.78478	-1.14709
10029911cSd_1	c	-4.25343	-4.54325
10029911cSe_1	c	1.22227	1.09236
10030211cSc_1	c	-6.7508	-2.69096
10030211cSd_1	c	-2.19451	-10.0859
11006011cSc_1	c	-15.4197	3.32684
11006811cSc_1	c	-11.4327	2.70028
10009011cSc_1	c	-10.3745	1.02802
10009011cSf_1	c	5.76502	-2.42031
10009011cSg_1	c	6.54667	0.408928
10009011cSh_1	c	6.61948	-0.206939
10009511cSc_1	c	-10.4179	-5.60217
10009511cSe_1	c	-5.87843	-0.0389901
10009511cSh_1	c	7.86794	2.19936
10010411cSc_1	c	-7.33894	-8.54244
10010411cSf_1	c	2.19627	5.81078
10010411cSg_1	c	11.0589	-2.61372
10011011cSe_1	c	-2.60489	-8.00839
10011011cSf_1	c	-0.383746	-5.58662
10011011cSg_1	c	5.08193	0.707407
10013611cSc_1	c	-15.49	2.85604
10013611cSd_1	c	-5.48036	-7.12416
10013611cSf_1	c	0.418946	6.74979
10018811cSd_1	c	-3.9097	-9.36812
10018811cSh_1	c	10.7537	-2.6482
10020711cSc_1	c	-7.61134	-7.77506
10020711cSd_1	c	-6.20176	-7.83541
10020711cSf_1	c	4.74428	1.52588
10020711cSg_1	c	5.6734	-0.217238
11002411cSc_1	c	-9.77555	-9.20218
11002411cSd_1	c	-8.56005	-13.299
11002411cSe_1	c	-3.11369	-15.2559
11002411cSf_1	c	5.58014	-5.24819
11002411cSg_1	c	9.07391	-0.0177926
11002611cSc_1	c	-8.23914	-0.979953
11002611cSf_1	c	8.29389	-1.65727
11002611cSg_1	c	8.95383	-3.06475
11003911cSf_1	c	5.21653	-1.80642
11003911cSg_1	c	8.56992	-2.14144
11004111cSc_1	c	-10.1029	8.3069
11004111cSd_1	c	-2.99564	-11.0483
11004111cSe_1	c	-0.0267947	4.23976
11004111cSf_1	c	-0.0341735	5.21689
11004311cSc_1	c	-9.51864	7.23381
11004311cSd_1	c	-6.01355	-12.3564
11004311cSf_1	c	2.27246	-5.31309
11004511cSd_1	c	-2.04455	-11.4878
11004511cSe_1	c	-2.52049	2.685
11004511cSf_1	c	7.94682	-2.35099
10008211cSc_1	c	-8.80394	-1.68512
10008211cSe_1	c	-3.69361	4.74533
10008211cSf_1	c	2.80646	2.03646
10008211cSg_1	c	8.78326	-1.25872
10008211cSh_1	c	12.6152	-4.2369
10008211cSk_1	c	13.9186	-3.2935
10010811cSc_1	c	-6.97396	-0.945742
10010811cSd_1	c	-1.04504	4.30017
10010811cSe_1	c	-1.51557	7.02681
10010811cSf_1	c	4.36637	-0.669777
10010811cSg_1	c	9.54462	0.42274
10012111cSc_1	c	-7.91161	-0.654816
10012111cSg_1	c	8.13595	-0.879204
10014411cSc_1	c	-13.113	1.36927
10014411cSd_1	c	-6.22025	9.24563
10014411cSe_1	c	-1.21467	9.18034
10014411cSg_1	c	3.74297	5.62774
10014411cSh_1	c	11.8958	-2.28405
10017711cSc_1	c	-11.6168	2.70727
10017711cSe_1	c	1.13675	4.39876
10017711cSf_1	c	0.0878938	3.83674
10017711cSg_1	c	7.07979	1.86749
10017711cSh_1	c	10.8115	-1.35038
10018611cSc_1	c	-12.5003	1.58304
10018611cSd_1	c	-4.28907	10.4576
10018611cSe_1	c	-2.2494	7.51183
10018611cSf_1	c	0.507898	6.70507
10018611cSg_1	c	8.59644	-2.36973
10020611cSd_1	c	-4.27578	11.7982
10020611cSf_1	c	1.53749	9.37594
10020611cSg_1	c	9.87325	-2.22176
10020611cSh_1	c	10.8854	-0.820524
10020811cSc_1	c	-7.52138	-1.55393
10020811cSd_1	c	-1.60455	8.13472
10020811cSe_1	c	-2.09655	6.71217
10020811cSf_1	c	2.60031	4.31299
10020811cSg_1	c	9.55028	-2.07515
10022811cSc_1	c	-10.4883	1.01614
10022811cSf_1	c	-0.825637	9.05958
10023411cSc_1	c	-12.3831	2.37639
10023411cSd_1	c	-5.38095	0.504299
10023411cSe_1	c	-0.974617	5.98932
10023411cSf_1	c	2.80555	7.19518
10023411cSg_1	c	6.90142	0.182711
10024011cSc_1	c	-10.2706	-1.52533
10024011cSe_1	c	-1.48684	7.34245
10024011cSg_1	c	11.0324	-0.121828
10024111cSc_1	c	-9.18751	-1.27668
10024111cSd_1	c	-2.97563	-1.70869
10024111cSe_1	c	-3.54274	12.6941
10024111cSf_1	c	1.79928	2.97109
10025111cSc_1	c	-9.8179	-2.11227
10025111cSd_1	c	-3.88725	8.07385
10025111cSe_1	c	-2.37379	10.4644
10025111cSf_1	c	6.23106	-1.22949
10025111cSg_1	c	8.11315	-2.24956
