Primary ID	age	M18.t[1]	M18.to[1]
10005510mSb_1	m	-2.07554	-5.08501
10005510mSc_1	m	-3.25464	13.7701
10005510mSd_1	m	-1.22297	-7.4165
10005510mSe_1	m	3.59391	2.16809
10007810mSb_1	m	-0.493716	-2.60551
10007810mSc_1	m	-3.27312	-3.81951
10007810mSd_1	m	0.625813	-2.49834
10007810mSe_1	m	2.28618	-1.55206
10008110mSb_1	m	-1.12542	-2.39315
10008110mSc_1	m	-2.51996	-5.00434
10008110mSd_1	m	2.08796	-3.76688
10008110mSe_1	m	2.33387	-4.85168
10009810mSb_1	m	-1.68114	-3.25051
10009810mSc_1	m	2.23499	5.64991
10009810mSd_1	m	1.4773	-2.16138
10009810mSe_1	m	3.56302	-5.77037
10010110mSb_1	m	-2.84268	8.24702
10010110mSc_1	m	1.34663	0.69925
10010110mSd_1	m	3.68507	-2.09207
10010510mSb_1	m	-2.60695	-3.8677
10010510mSc_1	m	-1.08593	0.771864
10010510mSd_1	m	1.45582	-7.22875
10010510mSe_1	m	1.90183	-7.61306
10010610mSb_1	m	0.924007	-5.632
10010610mSc_1	m	-1.08406	-6.00272
10010610mSd_1	m	2.49146	-4.03522
10010610mSe_1	m	3.42643	-5.4123
10011410mSb_1	m	0.831826	-6.152
10011410mSc_1	m	0.939305	-4.02785
10011410mSd_1	m	-0.0598453	-8.06353
10011410mSe_1	m	3.61185	-4.11157
10011510mSd_1	m	1.3902	-5.16449
10011510mSe_1	m	0.79933	-4.71563
10011610mSb_1	m	2.4148	-0.968801
10011610mSc_1	m	-4.30234	-4.50787
10011610mSd_1	m	2.22181	-5.15399
10011610mSe_1	m	3.15912	-3.36527
10012310mSb_1	m	-0.910612	-9.31489
10012310mSc_1	m	0.862646	-5.69386
10012310mSd_1	m	3.80924	-0.535233
10012310mSe_1	m	0.701165	-4.93152
10014810mSb_1	m	1.05393	-0.295812
10014810mSc_1	m	-0.46669	4.78405
10014810mSd_1	m	1.8919	0.0311861
10014810mSe_1	m	-0.0912022	2.90885
10014910mSb_1	m	2.42524	3.14249
10014910mSc_1	m	-1.95498	19.2581
10014910mSd_1	m	2.84919	19.5302
10014910mSe_1	m	1.31752	1.83594
10015110mSb_1	m	-2.58456	3.98163
10015110mSc_1	m	-2.69492	-0.165523
10015110mSd_1	m	-1.93072	3.20687
10015110mSe_1	m	1.53787	-1.28816
10016010mSb_1	m	-2.98453	-0.91392
10016010mSc_1	m	-1.05837	7.16127
10016010mSd_1	m	2.17854	-3.39854
10016010mSe_1	m	2.87945	9.6999
10017510mSb_1	m	-4.29809	-1.13773
10017510mSc_1	m	-0.137739	-2.72702
10017510mSd_1	m	-0.937333	-1.54258
10017510mSe_1	m	-0.137076	-4.5781
10018910mSb_1	m	-0.202566	-1.35662
10018910mSc_1	m	-0.693775	-1.25638
10018910mSd_1	m	0.0707038	-2.524
10018910mSe_1	m	1.45824	-1.89469
10019010mSb_1	m	-1.44481	1.07587
10019010mSd_1	m	2.83298	7.4597
10019010mSe_1	m	4.85087	-0.0904146
10019510mSd_1	m	2.82612	0.744331
10019510mSe_1	m	2.36389	5.79042
10019610mSb_1	m	-1.25788	-2.11044
10019610mSc_1	m	-0.255171	-5.7772
10019610mSd_1	m	-1.22439	-2.17379
10019610mSe_1	m	-0.497569	-3.36862
10005110mSb_1	m	-0.89022	-4.11007
10005110mSc_1	m	-3.09075	-1.55809
10005110mSd_1	m	0.218452	-4.99631
10005110mSe_1	m	3.47783	0.943493
10014510mSb_1	m	-0.115858	-5.84091
10014510mSc_1	m	-2.06379	-0.779489
10014510mSd_1	m	-0.234278	-1.27291
10014510mSe_1	m	2.655	0.737287
10014610mSb_1	m	0.950311	-2.93165
10014610mSc_1	m	-2.05434	-2.46434
10014610mSd_1	m	-0.532032	-1.81812
10014610mSe_1	m	0.735239	-0.246803
10019810mSb_1	m	-0.9084	-5.37107
10019810mSc_1	m	-0.825337	1.93433
10019810mSd_1	m	1.19718	-1.09869
