Primary ID		M7.p(ctr)[1]	M7.p(corr)[1]
9.99		-2.52842e-06	-0.126551
9.97		2.96686e-06	0.161164
9.95		7.11389e-07	0.0481776
9.93		4.75316e-07	0.027341
9.91		7.09471e-07	0.0589211
9.89		-7.93534e-07	-0.0439989
9.87		-7.50078e-08	-0.00629505
9.85		3.1665e-07	0.0175693
9.83		-2.15085e-07	-0.0191662
9.81		-1.09396e-06	-0.053348
9.79		-2.38186e-07	-0.0234573
9.77		-7.23012e-07	-0.0369751
9.75		-8.07024e-07	-0.0931852
9.73		-1.39753e-07	-0.00632335
9.71		-1.72458e-06	-0.13669
9.69		7.33248e-06	0.116725
9.67		-5.76521e-06	-0.148263
9.65		1.46468e-06	0.0609101
9.63		-2.2797e-07	-0.0235876
9.61		1.00182e-05	0.269099
9.59		7.817e-07	0.0917056
9.57		-1.41698e-05	-0.306416
9.55		8.08715e-07	0.0922863
9.53		-7.75883e-07	-0.0361462
9.51		-4.66665e-07	-0.060992
9.49		-2.245e-08	-0.00103307
9.47		-1.85846e-07	-0.0215759
9.45		1.16246e-05	0.217847
9.43		-9.82163e-07	-0.0867715
9.41		2.23696e-06	0.0947809
9.39		-1.21419e-06	-0.0871907
9.37		4.39618e-06	0.137511
9.35		6.75309e-06	0.248728
9.33		-8.79196e-06	-0.274285
9.31		3.26349e-06	0.20124
9.29		1.45669e-05	0.440949
9.27		-4.01642e-06	-0.242124
9.25		-4.07822e-06	-0.183764
9.23		2.63888e-06	0.162948
9.21		7.76163e-07	0.0354419
9.19		2.02364e-05	0.160979
9.17		6.41504e-06	0.191282
9.15		2.65725e-06	0.0898173
9.13		4.37125e-06	0.136857
9.11		-1.39341e-06	-0.034729
9.09		2.33229e-05	0.308148
9.07		1.25655e-05	0.166526
9.05		0.00016919	0.500459
9.03		5.32214e-06	0.12136
9.01		3.92316e-05	0.421863
8.99		-1.12555e-05	-0.274471
8.97		1.97704e-07	0.0145871
8.95		-2.79538e-06	-0.0772727
8.93		0.000166356	0.714609
8.91		4.42065e-06	0.170198
8.89		3.53831e-06	0.257619
8.87		-6.59089e-06	-0.261342
8.85		3.44644e-07	0.0333601
8.83		3.32384e-07	0.0126637
8.81		-2.75504e-07	-0.0294076
8.79		-2.13664e-06	-0.0879388
8.77		-1.74678e-07	-0.0149074
8.75		-1.74963e-06	-0.0521093
8.73		-2.05976e-06	-0.119776
8.71		1.50713e-05	0.323574
8.69		1.16086e-05	0.0848178
8.67		1.42182e-06	0.0268471
8.65		3.6997e-06	0.18038
8.63		8.22589e-06	0.158882
8.61		6.17621e-05	0.613916
8.59		0.00011866	0.714981
8.57		-8.41304e-06	-0.134118
8.55		1.18657e-05	0.223414
8.53		2.36489e-05	0.205693
8.51		-1.86649e-06	-0.0113115
8.49		-1.46513e-05	-0.0482345
8.47		-0.000194841	-0.0946683
8.45		-0.00337526	-0.317833
8.43		-0.00347812	-0.366254
8.41		-0.00124947	-0.364839
8.39		-0.00241017	-0.387482
8.37		-0.000477413	-0.403642
8.35		-7.73352e-05	-0.227035
8.33		-0.000119496	-0.20978
8.31		-0.000210808	-0.248003
8.29		-6.09743e-05	-0.145322
8.27		-1.68446e-05	-0.0574331
8.25		2.09734e-05	0.0510554
8.23		-0.00012854	-0.179581
8.21		-0.000425518	-0.34179
8.19		6.01006e-05	0.0636786
8.17		0.000156859	0.181705
8.15		-2.06119e-05	-0.0373419
8.13		0.000100143	0.220608
8.11		7.39994e-05	0.174564
8.09		-8.8958e-05	-0.158359
8.07		-0.000145462	-0.092508
8.05		-0.000256355	-0.159199
8.03		0.00059645	0.105096
8.01		4.86525e-05	0.0355993
7.99		-0.000362265	-0.428256
7.97		-7.17696e-05	-0.125561
7.95		-1.68816e-05	-0.0251383
7.93		-8.84734e-05	-0.201612
7.91		-7.78735e-05	-0.147366
7.89		-5.31694e-05	-0.0768084
7.87		6.32834e-06	0.00713585
7.85		1.11549e-05	0.0151725
7.83		8.8026e-05	0.115916
7.81		0.000122003	0.184913
7.79		0.000133571	0.213732
7.77		0.00012042	0.236672
7.75		4.47172e-05	0.136548
7.73		-7.8937e-05	-0.124537
7.71		1.16981e-05	0.0405904
7.69		4.75566e-05	0.244143
7.67		1.5607e-05	0.12734
7.65		6.14724e-05	0.286781
7.63		8.70596e-05	0.384564
7.61		-1.63039e-05	-0.145639
7.59		-1.67791e-05	-0.166476
7.57		5.43722e-05	0.387023
7.55		2.25354e-05	0.100405
7.53		0.000175077	0.204095
7.51		0.000270267	0.496277
7.49		-2.58884e-05	-0.0540309
7.47		7.09587e-05	0.141621
7.45		1.51269e-05	0.0721707
