Primary ID		M18.p(ctr)[1]	M18.p(corr)[1]
9.99		-1.23647e-05	-0.168256
9.97		-4.46608e-06	-0.0577009
9.95		-2.63743e-06	-0.0415656
9.93		-2.31187e-06	-0.0287381
9.91		-2.21913e-06	-0.038116
9.89		-4.32225e-06	-0.0560912
9.87		-3.5734e-06	-0.0605733
9.85		-7.30347e-06	-0.086597
9.83		-4.95207e-06	-0.113688
9.81		-9.69476e-06	-0.116128
9.79		-6.88856e-06	-0.150688
9.77		4.75616e-06	0.0544923
9.75		-4.84448e-06	-0.1165
9.73		-1.19082e-05	-0.124333
9.71		-5.09591e-06	-0.140269
9.69		5.3178e-06	0.0612011
9.67		3.99697e-06	0.0631618
9.65		-4.65221e-06	-0.0458243
9.63		-2.2069e-05	-0.193273
9.61		-8.43767e-05	-0.137274
9.59		-0.000158485	-0.144495
9.57		4.15111e-06	0.0321367
9.55		-1.57204e-05	-0.168564
9.53		-5.97145e-07	-0.00574054
9.51		-1.8397e-06	-0.052811
9.49		-1.09296e-05	-0.119655
9.47		-2.77239e-06	-0.0784329
9.45		2.70153e-05	0.139996
9.43		1.06585e-06	0.0126764
9.41		-1.41302e-05	-0.102904
9.39		-5.74526e-05	-0.150871
9.37		-7.4153e-06	-0.0664258
9.35		4.66574e-06	0.041068
9.33		-4.43399e-06	-0.0351047
9.31		-8.29805e-06	-0.117711
9.29		2.49588e-05	0.147663
9.27		-9.81885e-06	-0.120039
9.25		-2.18623e-05	-0.142859
9.23		1.34252e-05	0.0584958
9.21		1.90893e-05	0.027671
9.19		-0.000498384	-0.284646
9.17		-0.000333071	-0.279024
9.15		1.8295e-05	0.122501
9.13		1.36317e-05	0.0905952
9.11		3.41784e-05	0.121535
9.09		-7.4128e-05	-0.166758
9.07		2.23425e-05	0.0257229
9.05		-0.000229279	-0.117058
9.03		-0.000132838	-0.24445
9.01		-7.74213e-05	-0.119768
8.99		-1.1029e-05	-0.0869896
8.97		-8.02302e-06	-0.125891
8.95		2.39608e-05	0.138593
8.93		0.000137958	0.198887
8.91		2.5807e-06	0.0238848
8.89		-5.43385e-06	-0.0852157
8.87		-2.02201e-05	-0.132362
8.85		-7.17362e-06	-0.152145
8.83		8.40009e-06	0.0617547
8.81		-1.60045e-06	-0.0434939
8.79		-2.13802e-05	-0.187281
8.77		2.18156e-05	0.184238
8.75		-2.15797e-06	-0.0185214
8.73		-5.56759e-06	-0.141347
8.71		-0.000105551	-0.104891
8.69		-3.94831e-05	-0.0219244
8.67		-1.49047e-05	-0.112824
8.65		-4.55707e-06	-0.0969816
8.63		2.88268e-05	0.148455
8.61		9.37304e-05	0.282381
8.59		0.000132004	0.183581
8.57		7.66376e-05	0.0729918
8.55		7.30021e-05	0.03661
8.53		0.000112476	0.0345158
8.51		0.000153328	0.0443082
8.49		0.000109363	0.025498
8.47		1.94883e-05	0.00396664
8.45		-0.00129052	-0.085535
8.43		0.000510373	0.0809261
8.41		0.000247384	0.051208
8.39		0.000183604	0.0499536
8.37		0.000191422	0.0712705
8.35		0.000138603	0.0772023
8.33		-4.59926e-05	-0.0337474
8.31		-8.17631e-06	-0.0137601
8.29		5.83221e-05	0.0787726
8.27		1.26636e-05	0.0229273
8.25		0.00011714	0.131023
8.23		0.000144998	0.13678
8.21		-5.26578e-05	-0.0558947
8.19		-0.000123035	-0.0595981
8.17		-0.00014334	-0.0737752
8.15		0.000122659	0.0866627
8.13		3.48988e-05	0.0369678
8.11		8.07713e-06	0.00785486
8.09		7.34198e-05	0.109303
8.07		0.00063792	0.185479
8.05		-0.000663866	-0.165999
8.03		-0.000739714	-0.0726653
8.01		0.000175216	0.0532655
7.99		0.000170255	0.137254
7.97		0.000142669	0.126541
7.95		0.000183261	0.146227
7.93		-7.38829e-05	-0.0955636
7.91		-0.000242057	-0.157903
7.89		0.000111709	0.0837723
7.87		-7.41808e-05	-0.0366536
7.85		-4.31354e-05	-0.0258947
7.83		7.1465e-06	0.0046015
7.81		0.000165794	0.0652177
7.79		-5.15766e-06	-0.00255435
7.77		-0.00022361	-0.107222
7.75		-6.37702e-05	-0.0825719
7.73		-0.000415688	-0.152184
7.71		-0.000237346	-0.155783
7.69		-0.000155335	-0.107513
7.67		-0.000807138	-0.148973
7.65		-0.000177567	-0.17146
7.63		-0.00100979	-0.285709
7.61		-0.000278166	-0.254554
7.59		-1.78662e-05	-0.103003
7.57		2.98314e-06	0.0091623
7.55		4.39958e-05	0.0781912
7.53		-0.00048402	-0.113692
7.51		-5.15934e-05	-0.0282945
7.49		-0.00270827	-0.305963
7.47		-0.000356402	-0.151414
7.45		-0.0030109	-0.286235
7.43		-0.00101635	-0.24693
7.41		-7.41705e-05	-0.00725434
7.39		-0.000419923	-0.120704
7.37		-0.0010133	-0.117975
7.35		0.000102008	0.0340582
7.33		-7.10133e-05	-0.0117959
7.31		-0.000755362	-0.0686034
7.29		-0.000745703	-0.0716067
7.27		-0.000173558	-0.0578611
7.25		-1.10602e-05	-0.00850029
7.23		0.000920695	0.288622
7.21		2.81958e-05	0.00952262
7.19		-0.00113389	-0.118396
7.17		-8.02949e-05	-0.00764281
7.15		0.000491545	0.0538812
7.13		-0.000288359	-0.0695865
7.11		3.76216e-05	0.0474202
7.09		-7.36e-05	-0.0460731
7.07		0.000454601	0.158386
7.05		-0.000122777	-0.0372652
7.03		4.62361e-05	0.0344061
7.01		4.95163e-05	0.0341685
6.99		0.000180659	0.090609
6.97		6.09487e-05	0.13189
6.95		6.75295e-05	0.0169638
6.93		2.86443e-05	0.0220426
6.91		0.00012471	0.148758
6.89		-0.00106808	-0.0830723
6.87		0.0011401	0.265719
6.85		0.00175264	0.129631
6.83		0.000168951	0.0705055
6.81		-0.000269436	-0.0760127
6.79		0.00157707	0.397137
6.77		-4.23173e-05	-0.0412626
6.75		0.000733804	0.395715
6.73		0.000710255	0.365449
6.71		4.11326e-05	0.0358537
6.69		1.39117e-05	0.0541512
6.67		-2.93244e-05	-0.0994347
6.65		7.98606e-05	0.102358
6.63		-0.000485214	-0.270434
6.61		-0.000870555	-0.223022
6.59		-4.48471e-05	-0.0680006
6.57		-2.70511e-05	-0.0361085
6.55		2.21444e-05	0.0525929
6.53		2.64209e-05	0.0680676
6.51		8.40183e-05	0.0243643
6.49		4.93942e-05	0.0639137
6.47		3.58248e-05	0.0536601
6.45		-1.49962e-05	-0.0227862
6.43		-2.1785e-05	-0.0438442
6.41		4.86955e-05	0.148718
6.39		0.000142927	0.136215
6.37		0.00118532	0.177263
6.35		0.000217151	0.198498
6.33		-2.43237e-05	-0.0294789
6.31		4.96526e-05	0.0643
6.29		-6.18853e-05	-0.105087
6.27		0.000449825	0.146296
6.25		3.9133e-05	0.0849889
6.23		9.86918e-05	0.0953262
6.21		4.205e-05	0.169525
6.19		-3.9424e-05	-0.253475
6.17		-2.73227e-05	-0.0700217
6.15		0.000155539	0.100562
6.13		-3.10976e-05	-0.0390509
6.11		9.79915e-05	0.0594964
6.09		-0.000124727	-0.11925
6.07		-0.000214439	-0.192732
6.05		-0.000252636	-0.192638
6.03		-0.000348345	-0.220771
6.01		-0.000368389	-0.238349
5.99		-0.000536951	-0.248937
5.97		-0.000543393	-0.262253
5.95		-0.00047991	-0.229158
5.93		-0.000459912	-0.242929
5.91		-0.000261624	-0.16418
5.89		-8.36835e-05	-0.0458169
5.87		-5.71834e-05	-0.127367
5.85		-2.98057e-05	-0.0353655
5.83		0.0001275	0.106713
5.81		0.00017576	0.0904148
5.79		0.000372559	0.0470543
5.77		3.43824e-05	0.014492
5.75		-0.000118863	-0.0442358
5.73		9.22263e-05	0.0475387
5.71		0.000312757	0.177789
5.69		0.000914688	0.236868
5.67		0.00269451	0.233814
5.65		0.00266079	0.236584
5.63		0.000505642	0.20566
5.61		5.10502e-05	0.024208
5.59		0.000158182	0.134008
5.57		2.07634e-05	0.0200976
5.55		-1.1566e-05	-0.0147381
5.53		0.000161656	0.135368
5.51		0.000109416	0.0773546
5.49		7.13364e-05	0.0719969
5.47		-8.92673e-06	-0.00417733
5.45		4.61598e-06	0.00307863
5.43		0.000419166	0.206967
5.41		0.00113719	0.238849
5.39		0.00252642	0.235579
5.37		0.000679943	0.135592
5.35		0.000605649	0.129256
5.33		-0.000177393	-0.0600933
5.31		-0.000179517	-0.0271159
5.29		-0.000208492	-0.0289393
5.27		-0.000213578	-0.0449174
5.25		8.44579e-05	0.0145527
5.23		0.00206618	0.094458
5.21		0.00148876	0.170743
5.19		0.000748067	0.0991367
5.17		0.000191355	0.0440411
5.15		0.000297859	0.0539554
5.13		0.000503772	0.0716425
5.11		0.000939203	0.0831457
5.09		0.000644518	0.0412999
5.07		0.000353782	0.0212598
5.05		0.000356462	0.0168304
5.03		0.000311018	0.0121288
5.01		3.91547e-05	0.00132406
4.99		-0.000308095	-0.00932785
4.97		-0.000802746	-0.0218706
4.95		-0.00120771	-0.0291
4.93		-0.00247115	-0.0473555
4.91		-0.00356033	-0.0487604
4.89		-0.0050305	-0.0431621
4.67		-0.00759745	-0.0413646
4.65		-0.00403509	-0.0262536
4.63		-0.00385784	-0.0300946
4.61		-0.00231137	-0.0218825
4.59		-0.00101873	-0.0118868
4.57		-0.0004992	-0.00729503
4.55		-0.000169117	-0.00321483
4.53		0.000349535	0.00890391
4.51		0.000813765	0.0289713
4.49		0.000850409	0.0454737
4.47		0.000339913	0.028227
4.45		0.000617512	0.0415253
4.43		8.95392e-05	0.0091925
4.41		-0.000659607	-0.123238
4.39		-0.000225664	-0.0667123
4.37		0.000204077	0.0368699
4.35		0.000469414	0.0683744
4.33		-0.000307417	-0.0533195
4.31		7.94716e-05	0.012238
4.29		0.00075366	0.0630571
4.27		0.00113217	0.106524
4.25		0.00483639	0.18052
4.23		0.00252298	0.142802
4.21		0.00122709	0.0828484
4.19		0.00149631	0.116904
