Primary ID	age	Class	M12.t[1]	M12.to[1]
10005511cSc_1	c	1	0.591071	1.67124
10007811cSc_1	c	1	-3.68464	-21.1861
10010111cSc_1	c	1	-1.06553	1.28724
10011411cSc_1	c	1	-0.79259	0.0305302
10011511cSc_1	c	1	-3.05687	2.99399
10012311cSc_1	c	1	-1.49742	6.96938
10014811cSc_1	c	1	0.591561	5.41889
10014911cSc_1	c	1	0.157091	9.24671
10015111cSc_1	c	1	-0.674949	4.83139
10016011cSc_1	c	1	-0.857905	-1.06682
10017511cSc_1	c	1	-5.18355	-3.48186
10018911cSc_1	c	1	-0.421277	-0.575366
10019011cSc_1	c	2	7.38341	6.43765
10019511cSc_1	c	1	-0.948381	1.0996
10019611cSc_1	c	1	-0.766995	-0.145564
10014511cSc_1	c	1	-0.490815	-10.1731
10019811cSc_1	c	1	-1.96158	-0.931381
10020911cSc_1	c	1	-1.32913	5.38621
10021011cSc_1	c	1	-2.46824	-3.2338
10022711cSc_1	c	2	8.24887	-0.595732
10023211cSc_1	c	1	-2.78925	7.55408
10023711cSc_1	c	2	7.1696	2.37455
11001511cSc_1	c	1	-2.40386	-0.703295
11001811cSc_1	c	2	4.63319	0.389086
11001911cSc_1	c	2	6.62291	7.38931
10005911cSc_1	c	1	-1.60239	-12.4043
10009211cSc_1	c	1	-2.8731	5.85426
10011311cSc_1	c	1	0.41543	8.60846
10012811cSc_1	c	1	-1.91184	4.28569
10015911cSc_1	c	1	1.56463	7.28036
10021211cSc_1	c	2	6.91201	-4.25363
10022011cSc_1	c	1	1.27933	9.45722
10024411cSc_1	c	2	1.15021	6.35063
10024511cSc_1	c	1	-0.00446454	-10.8248
10007511cSc_1	c	1	0.926201	7.29787
11004711cSc_1	c	1	-1.93771	-9.04077
10009311cSc_1	c	1	-1.13933	6.65691
10016611cSc_1	c	1	-0.518209	8.1135
10023111cSc_1	c	1	0.211294	-2.56002
10026111cSc_1	c	1	-2.00275	4.481
10026511cSc_1	c	1	-4.36531	-9.51685
10026611cSc_1	c	1	-7.41459	-2.59251
10029011cSc_1	c	2	6.99916	0.524106
10029511cSc_1	c	1	-1.57358	4.82424
11003311cSc_1	c	1	0.120541	-7.39462
11004911cSc_1	c	1	0.312727	-1.66156
11005111cSc_1	c	1	-1.84429	-10.4196
10005711cSc_1	c	2	9.01785	4.55729
10007311cSc_1	c	2	8.20451	-3.85402
10008011cSc_1	c	2	9.46484	4.4255
10012711cSc_1	c	1	-3.12843	-6.80888
10015311cSc_1	c	1	-1.37666	1.45405
10017311cSc_1	c	1	1.69963	4.91004
10021311cSc_1	c	2	14.7289	-18.0435
10021511cSc_1	c	1	-2.0615	-8.91288
10023811cSc_1	c	1	0.226862	4.22795
10024711cSc_1	c	1	-5.68372	-5.12034
10024811cSc_1	c	1	-0.309132	3.77889
10008411cSc_1	c	1	-2.82987	3.47509
10023511cSc_1	c	2	8.14233	-10.6666
10030211cSc_1	c	1	-2.32512	-5.46774
11006011cSc_1	c	1	-3.01278	0.710823
11006811cSc_1	c	2	8.59913	-13.2963
10009011cSc_1	c	1	-2.18287	7.73071
10009511cSc_1	c	1	-5.14542	-4.64952
10010411cSc_1	c	1	-3.40726	0.304782
10013611cSc_1	c	1	-2.63712	-1.88006
10020711cSc_1	c	1	-4.21956	-6.33098
11002411cSc_1	c	1	-2.71121	-1.82268
11002611cSc_1	c	1	-5.35458	-8.40607
11004111cSc_1	c	1	-0.517389	-6.11486
11004311cSc_1	c	1	1.49533	-9.21679
10008211cSc_1	c	1	-1.96397	5.99806
10010811cSc_1	c	1	-1.30047	5.71383
10012111cSc_1	c	1	-1.78589	9.61654
10014411cSc_1	c	1	-3.1192	5.49318
10017711cSc_1	c	1	-0.143372	5.76444
10018611cSc_1	c	2	1.27997	9.23983
10020811cSc_1	c	2	9.12697	-5.57088
10022811cSc_1	c	1	-0.826619	5.42221
10023411cSc_1	c	1	0.529951	7.77792
10024011cSc_1	c	1	-1.65415	-8.39473
10024111cSc_1	c	1	-0.235558	5.55351
10025111cSc_1	c	1	-0.669894	2.81838
10025911cSc_1	c	2	2.72306	6.47721
10026411cSc_1	c	1	0.140449	7.93932
10026811cSc_1	c	1	0.0431982	-8.87902
10027611cSc_1	c	1	-1.511	-10.3876
10028211cSc_1	c	1	-0.262254	-2.98867
11003211cSc_1	c	1	-1.63189	-11.6126
10006511cSc_1	c	1	-3.06668	9.01002
10007611cSc_1	c	1	-0.0906293	4.81474
10015711cSc_1	c	2	4.6411	8.11554
10017211cSc_1	c	1	-0.662194	7.88333
10019111cSc_1	c	1	-0.686828	2.96514
10019711cSc_1	c	1	-1.57224	5.61618
10020011cSc_1	c	1	-4.14456	-9.61979
10020511cSc_1	c	1	-1.69889	6.54599
10022911cSc_1	c	1	-0.526879	1.84593
10025211cSc_1	c	1	1.57657	-10.9416
10025611cSc_1	c	1	1.41339	3.91388
10027111cSc_1	c	1	-0.302301	2.54939
10029611cSc_1	c	1	-1.50652	3.13799
11001611cSc_1	c	1	-1.55842	-4.25604
11004611cSc_1	c	1	-2.02912	-16.0134
11005711cSc_1	c	1	-0.910593	5.41549
