Primary ID		M12.p(ctr)[1]	M12.p(corr)[1]
9.99		-1.14608e-06	-0.0324625
9.97		-3.49123e-06	-0.105359
9.95		-1.10785e-06	-0.0374307
9.93		-6.35415e-07	-0.0222606
9.91		3.98871e-06	0.161747
9.89		-5.95083e-06	-0.159953
9.87		-1.33082e-06	-0.0608728
9.85		-5.65298e-07	-0.0162579
9.83		-7.26039e-07	-0.0323815
9.81		-1.70204e-06	-0.0452738
9.79		-8.52491e-07	-0.0405992
9.77		3.19295e-06	0.0782993
9.75		1.69292e-06	0.121224
9.73		-8.37462e-06	-0.162307
9.71		4.06876e-06	0.198341
9.69		1.52061e-06	0.0336897
9.67		1.69602e-05	0.287833
9.65		2.92546e-06	0.065041
9.63		-1.78051e-06	-0.104842
9.61		2.76828e-06	0.0550485
9.59		-9.04583e-07	-0.0667059
9.57		6.17976e-06	0.0616973
9.55		-5.63981e-07	-0.0374635
9.53		-9.03408e-07	-0.0245277
9.51		-1.91234e-07	-0.0110153
9.49		6.66772e-06	0.143447
9.47		-2.02599e-06	-0.135208
9.45		1.12434e-05	0.226584
9.43		2.45593e-06	0.114396
9.41		-2.55503e-06	-0.0576341
9.39		5.27364e-06	0.18241
9.37		2.25136e-06	0.0452821
9.35		-5.55146e-08	-0.00218677
9.33		-2.18709e-06	-0.0271943
9.31		2.91381e-06	0.0753201
9.29		-3.50248e-06	-0.0917471
9.27		-6.38684e-07	-0.022801
9.25		1.85623e-06	0.0468011
9.23		-1.42892e-06	-0.0484265
9.21		6.64216e-06	0.166193
9.19		-7.25821e-06	-0.20791
9.17		-2.70116e-06	-0.0721769
9.15		1.52104e-06	0.0376522
9.13		6.6914e-06	0.190725
9.11		-8.72669e-06	-0.20939
9.09		-4.97637e-06	-0.174533
9.07		3.71849e-06	0.098895
9.05		3.87652e-07	0.0163626
9.03		-5.04543e-06	-0.112937
9.01		-1.08642e-06	-0.0370432
8.99		1.15332e-05	0.118339
8.97		-9.59828e-07	-0.0325896
8.95		-7.13055e-06	-0.125038
8.93		8.62475e-06	0.126823
8.91		-8.05198e-06	-0.146641
8.89		-1.80729e-06	-0.067362
8.87		7.96916e-06	0.187573
8.85		4.7938e-06	0.226829
8.83		-6.38879e-06	-0.116784
8.81		5.20213e-07	0.0229608
8.79		6.80662e-06	0.14631
8.77		-2.96999e-06	-0.114853
8.75		9.10438e-06	0.143604
8.73		3.15756e-06	0.122113
8.71		-8.58204e-06	-0.112812
8.69		5.91159e-06	0.222667
8.67		9.86697e-06	0.14932
8.65		-2.59597e-06	-0.148853
8.63		5.50147e-06	0.056038
8.61		-1.74067e-05	-0.166275
8.59		-1.5075e-05	-0.17018
8.57		3.26828e-05	0.260991
8.55		2.84788e-07	0.00555155
8.53		-1.59334e-06	-0.0450093
8.51		-1.94785e-05	-0.213472
8.49		-2.10322e-05	-0.0817562
8.47		-0.000624664	-0.21521
8.45		0.00129811	0.0639752
8.43		-0.00460054	-0.433713
8.41		-0.0012102	-0.196563
8.39		-0.00378633	-0.275954
8.37		0.000337834	0.11465
8.35		2.23633e-05	0.0301485
8.33		0.000483283	0.453175
8.31		0.000538453	0.523173
8.29		0.000211355	0.489383
8.27		5.94899e-05	0.17751
8.25		-4.86099e-05	-0.0404087
8.23		0.000752228	0.420255
8.21		0.00152561	0.427956
8.19		0.000621196	0.343576
8.17		0.000414903	0.411744
8.15		0.000183214	0.320585
8.13		-3.86694e-06	-0.0145184
8.11		-5.10203e-05	-0.117141
8.09		-0.000140971	-0.082658
8.07		3.26806e-05	0.0156045
8.05		0.000814967	0.298209
8.03		0.00124961	0.437071
8.01		0.0002861	0.223746
7.99		-4.13731e-05	-0.0204606
7.97		-8.12826e-05	-0.0683309
7.95		5.94479e-05	0.0989081
7.93		0.000104411	0.196258
7.91		0.000205417	0.246064
7.89		0.000154127	0.125726
7.87		0.000128034	0.106673
7.85		3.39835e-05	0.0311289
7.83		5.87727e-05	0.0789559
7.81		-0.00020841	-0.237445
7.79		-1.51334e-05	-0.0411353
7.77		-5.90905e-06	-0.0426608
7.75		-1.03842e-07	-0.000383877
7.73		0.000370124	0.299412
7.71		0.000152696	0.347521
7.69		-2.19391e-06	-0.0206845
7.67		-7.99345e-06	-0.0669467
7.65		1.38691e-06	0.00667695
7.63		1.20171e-05	0.0809952
7.61		1.20487e-05	0.0801827
7.59		-9.41008e-06	-0.0452352
7.57		8.16645e-06	0.0740532
7.55		2.06321e-06	0.0273304
7.53		0.00042637	0.296058
7.51		3.90412e-05	0.102874
7.49		3.79207e-05	0.0651776
7.47		-1.37881e-05	-0.0541217
7.45		-1.90138e-05	-0.041492
7.43		0.000452972	0.329537
7.41		0.00149173	0.341648
7.39		8.11611e-05	0.179165
7.37		0.000873329	0.325263
7.35		0.000352152	0.292982
7.33		0.000902221	0.304576
7.31		0.00138882	0.311342
7.29		0.00011693	0.205626
7.27		0.000418073	0.303383
7.25		2.80319e-05	0.0372215
7.23		5.23053e-05	0.109745
7.21		5.48377e-05	0.0258321
7.19		0.00143127	0.329187
7.17		0.000993246	0.19746
7.15		5.77944e-06	0.00950056
7.13		3.62129e-05	0.10725
7.11		0.000101895	0.164139
7.09		0.000445505	0.257951
7.07		3.64929e-05	0.0283388
7.05		-0.000200156	-0.285555
7.03		-1.35968e-05	-0.115713
7.01		-2.3754e-06	-0.0546626
6.99		3.26581e-06	0.0410816
6.97		-2.2863e-05	-0.062906
6.95		-1.80023e-05	-0.0338613
6.93		-1.9933e-05	-0.066448
6.91		2.24494e-05	0.064086
6.89		0.00207658	0.348874
6.87		3.19513e-06	0.00543401
6.85		-8.64072e-05	-0.0355245
6.83		-5.28651e-05	-0.0385083
6.81		1.57958e-05	0.0897546
6.79		1.17806e-05	0.139021
6.77		9.43202e-06	0.306898
6.75		1.18363e-05	0.222961
6.73		-5.6709e-06	-0.215344
6.71		-1.07302e-05	-0.175191
6.69		7.36073e-07	0.0257497
6.67		-2.5244e-06	-0.0433708
6.65		-4.85637e-06	-0.0653102
6.63		-8.87673e-06	-0.0844181
6.61		2.16966e-06	0.0601743
6.59		-3.43825e-06	-0.0666967
6.57		8.90373e-07	0.00937558
6.55		6.20985e-06	0.170115
6.53		-5.20462e-06	-0.134405
6.51		0.000111348	0.143719
6.49		1.07826e-05	0.147596
6.47		4.75644e-06	0.0786897
6.45		6.3561e-06	0.129368
6.43		-1.083e-05	-0.104829
6.41		-8.2541e-06	-0.109978
6.39		-5.1379e-06	-0.0495013
6.37		-9.96311e-07	-0.00916566
6.35		-5.03752e-06	-0.146358
6.33		2.41819e-06	0.0391481
6.31		-2.47846e-06	-0.0856341
6.29		1.33769e-05	0.116218
6.27		-5.02757e-06	-0.0253512
6.25		-1.82287e-05	-0.312737
6.23		-2.10444e-06	-0.0976541
6.21		1.17977e-05	0.194526
6.19		4.65324e-06	0.0123904
6.17		-9.8538e-06	-0.0797272
6.15		1.95127e-06	0.0467166
6.13		1.74834e-06	0.0108491
6.11		3.99105e-06	0.0246483
6.09		5.19658e-05	0.139621
6.07		-4.41885e-06	-0.0364412
6.05		-1.08112e-06	-0.00636062
6.03		1.57001e-05	0.0797353
6.01		5.69307e-05	0.179438
5.99		-3.57657e-06	-0.0266672
5.97		2.0066e-05	0.0444519
5.95		-1.23589e-05	-0.0384475
5.93		-8.64272e-06	-0.0534223
5.91		4.98975e-05	0.151704
5.89		0.00012377	0.153544
5.87		-5.74288e-06	-0.0379394
5.85		-1.07446e-05	-0.0593491
5.83		-5.51276e-05	-0.145239
5.81		-9.44869e-05	-0.225001
5.79		-7.80823e-05	-0.102295
5.77		-0.000111068	-0.140519
5.75		-6.73784e-05	-0.102515
5.73		-5.78088e-05	-0.116684
5.71		-2.60631e-05	-0.0544563
5.69		9.8838e-05	0.051913
5.67		-5.02558e-05	-0.122211
5.65		-1.69181e-06	-0.00782447
5.63		-9.63817e-06	-0.148951
5.61		1.57819e-05	0.0803531
5.59		1.73615e-05	0.0432771
5.57		6.87048e-06	0.0729694
5.55		-4.8364e-05	-0.0660532
5.53		-7.1553e-05	-0.037301
5.51		-8.02921e-05	-0.0311947
5.49		-0.000303118	-0.11609
5.47		-0.000340962	-0.119796
5.45		-0.00174724	-0.472226
5.43		0.00396961	0.218861
5.41		0.000110678	0.00878813
5.39		-0.00182049	-0.381572
5.37		0.00441936	0.461848
5.35		-0.000740727	-0.0791291
5.33		-0.00211678	-0.127396
5.31		-0.02488	-0.485822
