Primary ID		M18.p(ctr)[1]	M18.p(corr)[1]
9.99		-1.2356e-05	-0.168153
9.97		-4.47896e-06	-0.0578723
9.95		-2.6223e-06	-0.0413307
9.93		-2.37625e-06	-0.0295409
9.91		-2.21139e-06	-0.0379864
9.89		-4.30471e-06	-0.0558683
9.87		-3.56958e-06	-0.0605136
9.85		-7.28585e-06	-0.0863954
9.83		-4.93717e-06	-0.113355
9.81		-9.68664e-06	-0.116041
9.79		-6.87083e-06	-0.150313
9.77		4.70805e-06	0.0539457
9.75		-4.8546e-06	-0.116753
9.73		-1.19729e-05	-0.125018
9.71		-5.10106e-06	-0.140423
9.69		5.37598e-06	0.0618759
9.67		3.98385e-06	0.0629597
9.65		-4.56529e-06	-0.044972
9.63		-2.20268e-05	-0.192919
9.61		-8.41959e-05	-0.136991
9.59		-0.00015815	-0.144203
9.57		4.18177e-06	0.0323768
9.55		-1.57032e-05	-0.168393
9.53		-5.90328e-07	-0.0056755
9.51		-1.84891e-06	-0.0530801
9.49		-1.09364e-05	-0.11974
9.47		-2.77684e-06	-0.0785653
9.45		2.68665e-05	0.139237
9.43		1.08264e-06	0.0128772
9.41		-1.40045e-05	-0.101996
9.39		-5.73269e-05	-0.150553
9.37		-7.38394e-06	-0.0661504
9.35		4.68601e-06	0.0412499
9.33		-4.47517e-06	-0.0354337
9.31		-8.28086e-06	-0.117477
9.29		2.49155e-05	0.14742
9.27		-9.7741e-06	-0.119503
9.25		-2.17538e-05	-0.142163
9.23		1.34065e-05	0.058419
9.21		1.93951e-05	0.0281167
9.19		-0.000497474	-0.28415
9.17		-0.000332303	-0.278404
9.15		1.82928e-05	0.122497
9.13		1.35517e-05	0.0900713
9.11		3.42095e-05	0.121656
9.09		-7.40834e-05	-0.166671
9.07		2.24714e-05	0.0258735
9.05		-0.000229402	-0.117131
9.03		-0.00013264	-0.244106
9.01		-7.72528e-05	-0.119517
8.99		-1.10924e-05	-0.0874968
8.97		-8.03849e-06	-0.126144
8.95		2.40201e-05	0.138948
8.93		0.000137829	0.198718
8.91		2.60908e-06	0.0241495
8.89		-5.43395e-06	-0.0852247
8.87		-2.01973e-05	-0.132224
8.85		-7.17618e-06	-0.152212
8.83		8.31523e-06	0.0611359
8.81		-1.59925e-06	-0.043465
8.79		-2.13572e-05	-0.187096
8.77		2.18587e-05	0.184618
8.75		-2.17986e-06	-0.0187108
8.73		-5.57603e-06	-0.141574
8.71		-0.000105157	-0.104508
8.69		-3.92132e-05	-0.0217764
8.67		-1.49138e-05	-0.112902
8.65		-4.55894e-06	-0.0970296
8.63		2.88396e-05	0.148533
8.61		9.38142e-05	0.282657
8.59		0.000131814	0.183333
8.57		7.60548e-05	0.0724428
8.55		7.25636e-05	0.0363932
8.53		0.000111859	0.0343294
8.51		0.000152212	0.0439895
8.49		0.000108382	0.0252714
8.47		1.85509e-05	0.00377618
8.45		-0.00129785	-0.0860275
8.43		0.000508952	0.0807077
8.41		0.000245942	0.0509137
8.39		0.000182297	0.0496021
8.37		0.000190535	0.0709462
8.35		0.000138015	0.0768816
8.33		-4.5825e-05	-0.0336274
8.31		-8.08854e-06	-0.0136136
8.29		5.83487e-05	0.0788153
8.27		1.23557e-05	0.0223718
8.25		0.000117328	0.131244
8.23		0.000144992	0.136787
8.21		-5.26168e-05	-0.055856
8.19		-0.000122906	-0.0595409
8.17		-0.000142417	-0.0733064
8.15		0.000123293	0.0871178
8.13		3.53225e-05	0.0374199
8.11		8.51729e-06	0.00828358
8.09		7.33554e-05	0.109217
8.07		0.000639146	0.185851
8.05		-0.000661982	-0.165542
8.03		-0.000736075	-0.0723139
8.01		0.000175593	0.0533846
7.99		0.000169547	0.136695
7.97		0.000142107	0.126053
7.95		0.000183267	0.146244
7.93		-7.39067e-05	-0.0956025
7.91		-0.00024178	-0.157736
7.89		0.000111862	0.0838939
7.87		-7.41396e-05	-0.0366364
7.85		-4.30569e-05	-0.0258499
7.83		7.81775e-06	0.00503417
7.81		0.000165461	0.0650924
7.79		-4.77536e-06	-0.00236515
7.77		-0.00022297	-0.106925
7.75		-6.39297e-05	-0.0827855
7.73		-0.00041683	-0.152616
7.71		-0.000237316	-0.155777
7.69		-0.000155563	-0.10768
7.67		-0.000805762	-0.148732
7.65		-0.000177503	-0.171414
7.63		-0.00101011	-0.285825
7.61		-0.000278117	-0.25453
7.59		-1.78927e-05	-0.103165
7.57		2.83314e-06	0.00870223
7.55		4.39867e-05	0.0781815
7.53		-0.000484454	-0.113803
7.51		-5.22309e-05	-0.0286467
7.49		-0.00271004	-0.306189
7.47		-0.000356409	-0.15143
7.45		-0.00301116	-0.286284
7.43		-0.00101577	-0.246811
7.41		-7.67335e-05	-0.00750548
7.39		-0.00041973	-0.120659
7.37		-0.00101906	-0.118656
7.35		0.00010181	0.0339954
7.33		-7.25202e-05	-0.012047
7.31		-0.000756193	-0.0686845
7.29		-0.000752337	-0.0722501
7.27		-0.000174239	-0.058093
7.25		-1.16182e-05	-0.00893013
7.23		0.0009206	0.288617
7.21		2.91541e-05	0.009847
7.19		-0.00113598	-0.118624
7.17		-8.24444e-05	-0.00784798
7.15		0.00049156	0.0538874
7.13		-0.000291135	-0.0702623
7.11		3.74423e-05	0.0471982
7.09		-7.39709e-05	-0.0463092
7.07		0.000454007	0.158192
7.05		-0.000122362	-0.0371421
7.03		4.68612e-05	0.0348743
7.01		4.9221e-05	0.0339677
6.99		0.000181163	0.0908693
6.97		6.11048e-05	0.132239
6.95		6.65125e-05	0.0167097
6.93		2.84688e-05	0.0219093
6.91		0.000124695	0.148753
6.89		-0.00107498	-0.0836168
6.87		0.00114111	0.265976
6.85		0.00175376	0.129725
6.83		0.00016815	0.0701772
6.81		-0.000272334	-0.0768367
6.79		0.00157778	0.397347
6.77		-4.32805e-05	-0.0422054
6.75		0.000734313	0.396023
6.73		0.000710289	0.365498
6.71		4.05165e-05	0.0353197
6.69		1.38654e-05	0.0539755
6.67		-2.94215e-05	-0.0997722
6.65		7.88663e-05	0.101092
6.63		-0.000485969	-0.270878
6.61		-0.000870791	-0.223102
6.59		-4.50263e-05	-0.0682781
6.57		-2.69407e-05	-0.0359642
6.55		2.1853e-05	0.0519053
6.53		2.61556e-05	0.0673897
6.51		8.55243e-05	0.0248031
6.49		4.92456e-05	0.0637268
6.47		3.57642e-05	0.0535738
6.45		-1.5408e-05	-0.0234141
6.43		-2.2074e-05	-0.0444296
6.41		4.86427e-05	0.148569
6.39		0.000142528	0.135846
6.37		0.00118503	0.177235
6.35		0.000217392	0.198736
6.33		-2.46359e-05	-0.0298598
6.31		4.90712e-05	0.0635524
6.29		-6.18714e-05	-0.105072
6.27		0.000449672	0.146258
6.25		3.90901e-05	0.084903
6.23		9.86836e-05	0.0953265
6.21		4.19042e-05	0.168951
6.19		-3.93738e-05	-0.253174
6.17		-2.76447e-05	-0.0708529
6.15		0.000154483	0.0998875
6.13		-3.15186e-05	-0.0395829
6.11		9.67683e-05	0.0587587
6.09		-0.000124636	-0.119173
6.07		-0.000214401	-0.192714
6.05		-0.000252747	-0.192739
6.03		-0.000349277	-0.221381
6.01		-0.000368697	-0.238568
5.99		-0.000538344	-0.249605
5.97		-0.000545084	-0.263092
5.95		-0.000481708	-0.230036
5.93		-0.000461063	-0.243557
5.91		-0.00026294	-0.16502
5.89		-8.4247e-05	-0.0461294
5.87		-5.72904e-05	-0.127616
5.85		-2.98455e-05	-0.0354157
5.83		0.000127558	0.106771
5.81		0.000176374	0.0907385
5.79		0.000374071	0.0472493
5.77		3.54439e-05	0.0149407
5.75		-0.000117603	-0.0437704
5.73		9.26225e-05	0.047747
5.71		0.000313357	0.178145
5.69		0.000916098	0.237253
5.67		0.00269487	0.233865
5.65		0.00266027	0.236557
5.63		0.00050515	0.205478
5.61		4.9891e-05	0.0236603
5.59		0.00015759	0.133518
5.57		2.04676e-05	0.019813
5.55		-1.16241e-05	-0.0148134
5.53		0.000161596	0.135329
5.51		0.000109401	0.0773503
5.49		7.12253e-05	0.0718909
5.47		-8.01915e-06	-0.00375287
5.45		4.38211e-06	0.00292291
5.43		0.000419483	0.207141
5.41		0.00113718	0.238867
5.39		0.00252585	0.235547
5.37		0.000678106	0.135237
5.35		0.000605165	0.129164
5.33		-0.000176436	-0.0597744
5.31		-0.000177101	-0.0267534
5.29		-0.000206072	-0.0286057
5.27		-0.000212345	-0.0446619
5.25		8.69744e-05	0.0149876
5.23		0.0020806	0.0951251
5.21		0.0014914	0.171061
5.19		0.000749632	0.0993525
5.17		0.000189807	0.0436886
5.15		0.000296	0.0536232
5.13		0.000500917	0.0712424
5.11		0.000937437	0.0829963
5.09		0.00064365	0.0412477
5.07		0.000350467	0.0210623
5.05		0.000350819	0.0165654
5.03		0.000306132	0.0119393
5.01		3.50531e-05	0.00118549
4.99		-0.000310658	-0.00940624
4.97		-0.000803115	-0.0218825
4.95		-0.00120169	-0.0289575
4.93		-0.00245834	-0.047114
4.91		-0.0035347	-0.0484134
4.89		-0.00498872	-0.0428073
4.67		-0.00766431	-0.0417322
4.65		-0.00408062	-0.0265522
4.63		-0.0038856	-0.0303137
4.61		-0.00234003	-0.0221558
4.59		-0.00103712	-0.0121024
4.57		-0.000513785	-0.00750881
4.55		-0.000178782	-0.00339885
4.53		0.000342699	0.00873053
4.51		0.000806687	0.0287217
4.49		0.000846327	0.0452593
4.47		0.000338493	0.0281115
4.45		0.000614397	0.0413194
4.43		9.06568e-05	0.009308
4.41		-0.000656979	-0.122758
4.39		-0.00022542	-0.0666457
4.37		0.000204603	0.0369681
4.35		0.000471425	0.0686733
4.33		-0.000305511	-0.0529933
4.31		7.88197e-05	0.0121387
4.29		0.000745915	0.0624144
4.27		0.00113339	0.106648
4.25		0.00483871	0.180622
4.23		0.00252556	0.14296
4.21		0.00122912	0.082993
4.19		0.00149826	0.117066
4.17		0.00164771	0.115928
4.15		0.00158865	0.125132
4.13		0.00121391	0.0394095
4.11		0.00265939	0.0786035
4.09		0.00409352	0.153674
4.07		0.000110419	0.0124324
4.05		0.0015582	0.0887289
4.03		0.00596043	0.201621
4.01		0.00366603	0.128213
3.99		0.00261173	0.102553
3.97		0.00250454	0.0949651
3.95		0.00396575	0.141196
3.93		0.0051043	0.108265
3.91		0.0075995	0.187189
3.89		0.00440514	0.0804745
3.87		0.00937169	0.179785
3.85		0.020416	0.265527
3.83		0.0189557	0.244394
3.81		0.0132115	0.192203
3.79		0.0125752	0.162285
3.77		0.0143925	0.139986
3.75		0.00810409	0.0772575
3.73		0.00987473	0.122466
3.71		0.00744905	0.110249
3.69		-0.0112577	-0.0324211
3.67		0.0126729	0.187119
3.65		0.0095184	0.126291
3.63		0.00762224	0.163558
3.61		0.00617146	0.184791
3.59		0.00272109	0.0780462
3.57		0.00299124	0.124403
3.55		0.00193259	0.0270099
3.53		3.57628e-05	0.0018071
3.51		0.00427324	0.209869
3.49		0.00287843	0.127551
3.47		0.00116881	0.0362719
3.45		0.00460722	0.140524
3.43		0.00487238	0.198779
3.41		-0.00232691	-0.0368257
3.39		0.000375196	0.013752
3.37		0.000461357	0.125379
3.35		0.000616193	0.0315028
3.33		-0.00010433	-0.00624493
3.31		0.000505503	0.0369656
3.29		0.00330717	0.187905
3.27		0.00413853	0.227097
3.25		-0.00215474	-0.0447387
3.23		0.000861004	0.0261433
3.21		0.00387117	0.29214
3.19		0.0021976	0.148485
