Primary ID	family	sec	M1.t[1]	M1.t[2]	M1.t[3]
10005510mMc_BM00032.cnx	100055	sec	10.9232	1.54627	-0.327392
10005510mMd_BM00033.cnx	100055	sec	2.24712	-2.88789	1.85599
10005510mMe_BM00129.cnx	100055	sec	-2.85103	2.87439	0.392581
10007810mMc_BM00095.cnx	100078	sec	0.20991	0.274684	-2.68623
10007810mMd_BM00120.cnx	100078	sec	-2.75136	2.13238	-1.66149
10007810mMe_BM00248.cnx	100078	sec	-3.21636	1.96734	2.09159
10008110mMc_BM00117.cnx	100081	non-sec	-0.603335	-0.561348	-2.60381
10008110mMd_BM00139.cnx	100081	non-sec	-2.71316	2.75333	-0.424605
10008110mMe_BM00251.cnx	100081	non-sec	-3.37907	3.67015	0.258592
10009810mMc_BM00198.cnx	100098	sec	7.67225	-0.0264627	-5.27372
10009810mMd_BM00227.cnx	100098	sec	-1.99867	1.27084	-2.97063
10009810mMe_BM00356.cnx	100098	sec	1.54855	-5.49389	5.4025
10010110mMc_BM00219.cnx	100101	sec	-0.205901	-2.39171	-2.45409
10010110mMd_BM00234.cnx	100101	sec	-3.01476	-1.19701	-1.21782
10010110mMe_BM00352.cnx	100101	sec	-3.79168	0.931034	1.16495
10010510mMc_BM00236.cnx	100105	sec	12.4914	2.53942	-4.52029
10010510mMd_BM00264.cnx	100105	sec	-2.51676	2.99054	-2.26232
10010510mMe_BM00368.cnx	100105	sec	-3.56141	3.84647	0.811134
10010610mMc_BM00229.cnx	100106	sec	2.30934	-1.73377	-1.3203
10010610mMd_BM00255.cnx	100106	sec	-2.37255	1.26551	-0.929491
10010610mMe_BM00371.cnx	100106	sec	-3.31691	2.71832	1.0234
10011410mMc_BM00242.cnx	100114	sec	0.740953	-3.02168	-3.7789
10011410mMd_BM00272.cnx	100114	sec	-1.34705	-1.68461	-1.08483
10011410mMe_BM00379.cnx	100114	sec	-1.39101	-0.151352	1.75429
10011510mMc_BM00230.cnx	100115	sec	1.18988	-1.19832	-2.26498
10011510mMd_BM00277.cnx	100115	sec	-1.63312	-0.147407	-0.0996477
10011510mMe_BM00383.cnx	100115	sec	-3.31589	0.451749	1.70822
10011610mMc_BM00278.cnx	100116	sec	2.93552	-3.39782	1.01698
10011610mMd_BM00300.cnx	100116	sec	-2.7642	0.931768	-0.676889
10011610mMe_BM00411.cnx	100116	sec	-3.317	3.78183	1.07667
10012310mMc_BM00324.cnx	100123	sec	1.25886	-2.59348	-1.3591
10012310mMd_BM00334.cnx	100123	sec	-2.99686	3.68651	-1.16481
10012310mMe_BM00450.cnx	100123	sec	-3.92574	3.43198	1.17621
10012910mMc_BM00328.cnx	100129	sec	5.00692	-1.37251	1.98899
10012910mMd_BM00340.cnx	100129	sec	-1.33116	-1.21369	-1.36588
10012910mMe_BM00466.cnx	100129	sec	-2.27781	2.16543	2.28329
10014810mMc_BM00509.cnx	100148	sec	6.75199	-2.05589	2.45015
10014810mMd_BM00510.cnx	100148	sec	-0.872695	0.0582047	-1.91365
10014810mMe_BM00584.cnx	100148	sec	-1.62717	-1.67226	2.59921
10014910mMc_BM00515.cnx	100149	sec	3.85498	-2.52589	-1.70155
10014910mMd_BM00483.cnx	100149	sec	-0.585056	0.685742	-0.0723841
10014910mMe_BM00593.cnx	100149	sec	-2.501	1.3771	2.48135
10015110mMc_BM00517.cnx	100151	sec	5.30056	-2.60583	1.42582
10015110mMd_BM00524.cnx	100151	sec	2.77774	0.871437	0.0724511
10016010mMc_BM00535.cnx	100160	sec	3.9219	-3.40138	-0.402094
10016010mMd_BM00541.cnx	100160	sec	-2.15043	0.249828	-2.19994
10016010mMe_BM00617.cnx	100160	sec	-2.43205	2.49919	1.17914
10017510mMc_BM00591.cnx	100175	sec	0.00600695	-0.356657	-2.21628
10017510mMd_BM00604.cnx	100175	sec	-3.5994	1.93421	0.297878
10017510mMe_BM00660.cnx	100175	sec	-3.61412	2.36924	2.46608
10018910mMc_BM00623.cnx	100189	sec	-0.921352	-1.10439	-3.04825
10018910mMd_BM00637.cnx	100189	sec	-2.96023	3.10678	-1.0712
10018910mMe_BM00696.cnx	100189	sec	-3.39803	4.65754	1.76412
10019010mMc_BM00642.cnx	100190	non-sec	1.0859	-0.50882	-1.22167
10019010mMd_BM00644.cnx	100190	non-sec	-3.12742	0.80178	-1.31778
10019010mMe_BM00716.cnx	100190	non-sec	-3.55746	0.645067	2.34206
